"","FeatureID","PC1","PC2","PC3","ASV","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1","ASV_1",-0.0376312696344726,0.0195111343537353,0.0500593072824859,"ASV_1","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Paracalanidae","Paracalanus","unassigned"
"2","ASV_2",0.0420387863058565,0.00279353628327887,-0.044073725808865,"ASV_2","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Calanidae","unassigned","unassigned"
"3","ASV_3",-0.0837302693159419,-0.0128182106615231,-0.105214636118476,"ASV_3","Eukaryota","unknown","Dinophyceae","Thoracosphaerales","Thoracosphaeraceae","Ensiculifera","Ensiculifera imariensis"
"4","ASV_4",0.00557840770983802,-0.00884200774202524,-0.138318518690506,"ASV_4","Eukaryota","unknown","unknown","unknown","unknown","unknown","Acantharian sp. 6201"
"5","ASV_5",0.0213989488625675,-0.00504255250985569,-0.262574858000126,"ASV_5","Eukaryota","unknown","Dinophyceae","unassigned","unassigned","unassigned","unassigned"
"6","ASV_6",-0.0554210787235455,0.0329328628123322,-0.116601742444093,"ASV_6","Eukaryota","unknown","Dinophyceae","unknown","unknown","unknown","Dinophyceae sp. CCMP1878"
"7","ASV_7",-0.128266878596686,-0.0179371325080343,-0.10357280795427,"ASV_7","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit"
"8","ASV_8",0.00811154707015009,-0.00781078217828244,0.0315306479184721,"ASV_8","Eukaryota","unknown","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Akashiwo","Akashiwo sanguinea"
"9","ASV_9",-0.0100064178080804,0.0113967564357532,0.0522427209191035,"ASV_9","Eukaryota","unknown","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Cochlodinium","unassigned"
"10","ASV_10",0.00417514498811134,-0.0179204508653636,0.0510666798888209,"ASV_10","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Metridinidae","Metridia","unassigned"
"11","ASV_11",-0.0881499863624042,0.0907513336332917,-0.0270689170446137,"ASV_11","Eukaryota","Chlorophyta","unassigned","unassigned","unassigned","unassigned","unassigned"
"12","ASV_12",0.00317571320338729,-0.00244088098358263,0.00147359067732061,"ASV_12","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia australis"
"13","ASV_13",0.00776273443235283,-0.0100992949257268,0.060665832961659,"ASV_13","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit"
"14","ASV_14",-0.0674283326584724,-0.0901823559490384,-0.0223346337767228,"ASV_14","Eukaryota","unknown","unknown","unknown","unknown","unknown","phototrophic eukaryote"
"15","ASV_15",0.0141085345236694,-0.0288890994997171,0.0174937707407286,"ASV_15","Eukaryota","Chordata","Actinopteri","unassigned","unassigned","unassigned","unassigned"
"16","ASV_16",-0.0384749519777398,0.0254845628173988,0.0458672256503353,"ASV_16","Eukaryota","Arthropoda","Hexanauplia","Calanoida","unassigned","unassigned","unassigned"
"17","ASV_17",-0.0665237367089268,-0.00183832799896752,0.00298045610157,"ASV_17","Eukaryota","Bacillariophyta","Coscinodiscophyceae","Thalassiosirales","Thalassiosiraceae","Thalassiosira","unassigned"
"18","ASV_18",0.00463068733182734,0.00379069057962009,0.0511028730821404,"ASV_18","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit"
"19","ASV_19",-0.055394660626736,0.129925813635346,-0.0458661437177997,"ASV_19","Eukaryota","unknown","unknown","unknown","unknown","unknown","uncultured marine eukaryote"
"20","ASV_20",0.0139384224269625,-0.00391646254594055,0.0348931454979231,"ASV_20","Eukaryota","unknown","Dinophyceae","unassigned","unassigned","unassigned","unassigned"
"21","ASV_21",-0.000540699013998618,0.0108573717540741,0.0286659081536666,"ASV_21","Eukaryota","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned"
"22","ASV_22",0.0347039856378634,0.00562556108749133,-0.229840147955713,"ASV_22","Eukaryota","Haptista","Haptophyta","Phaeocystales","Phaeocystaceae","Phaeocystis","unassigned"
"23","ASV_23",-0.00430618982325518,0.00463316389894223,-0.00182849544989967,"ASV_23","Eukaryota","Bacillariophyta","Coscinodiscophyceae","Thalassiosirales","Skeletonemataceae","Skeletonema","unassigned"
"24","ASV_24",-0.0709790850001688,-0.111648933748439,-0.0146352594693037,"ASV_24","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Clausocalanidae","Pseudocalanus","s_"
"25","ASV_25",-0.00924208088413331,-0.0143166352988904,0.0365584359178285,"ASV_25","Eukaryota","Arthropoda","Malacostraca","Euphausiacea","Euphausiidae","unassigned","unassigned"
"26","ASV_26",-0.0274061501754842,0.0115261678991191,0.0427338140511827,"ASV_26","Eukaryota","Bacillariophyta","Coscinodiscophyceae","Thalassiosirales","Thalassiosiraceae","Minidiscus","unassigned"
"27","ASV_27",-0.00604147994736624,0.00122542269613291,0.0228730239446478,"ASV_27","Eukaryota","Bacillariophyta","unassigned","unassigned","unassigned","unassigned","unassigned"
"28","ASV_28",-0.025243311784598,0.0724370559310629,0.00267158981654165,"ASV_28","Eukaryota","Cnidaria","Hydrozoa","Siphonophorae","unassigned","unassigned","unassigned"
"29","ASV_29",0.00424180461385735,-0.0293655471146967,0.0575584204193053,"ASV_29","Eukaryota","Cnidaria","Hydrozoa","Siphonophorae","unassigned","unassigned","unassigned"
"30","ASV_30",-0.0410039021805805,0.0769373062221087,-0.0281189020769951,"ASV_30","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit"
"31","ASV_31",0.0117680475221299,0.0129949979490355,0.00631891291281209,"ASV_31","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia fraudulenta"
"32","ASV_33",-0.0633717520464858,0.105711083090479,-0.0011831473830504,"ASV_33","Eukaryota","unknown","unknown","unknown","unknown","unknown","uncultured marine picoeukaryote"
"33","ASV_34",0.0168223043769438,0.0031192380845469,0.0119246314726645,"ASV_34","Eukaryota","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","unassigned"
"34","ASV_36",0.00835336519542168,0.0323343244514158,0.0616361499320952,"ASV_36","Eukaryota","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned"
"35","ASV_37",0.00878127160201823,0.0196289749784641,0.00527425125205091,"ASV_37","Eukaryota","unknown","Dinophyceae","Gonyaulacales","Gonyaulacaceae","Alexandrium","unassigned"
"36","ASV_38",-0.0102397058320456,0.00380785011973126,0.0474637376924874,"ASV_38","Eukaryota","Arthropoda","Hexanauplia","Calanoida","unassigned","unassigned","unassigned"
"37","ASV_39",-0.0228757182221242,0.0251567208890819,-0.00817707789371095,"ASV_39","Eukaryota","Arthropoda","Hexanauplia","Poecilostomatoida","unassigned","unassigned","unassigned"
"38","ASV_40",-0.0814840416730528,0.0151372262291666,-0.0312785679454989,"ASV_40","Eukaryota","Bacillariophyta","Coscinodiscophyceae","Thalassiosirales","Thalassiosiraceae","unassigned","unassigned"
"39","ASV_43",0.00637686640668445,0.00275728596707352,0.00734676643146508,"ASV_43","Eukaryota","Ctenophora","Tentaculata","Cydippida","Pleurobrachiidae","Pleurobrachia","unassigned"
"40","ASV_44",-0.0987573843536201,0.0370136247713444,-0.0663314448456816,"ASV_44","Eukaryota","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned"
"41","ASV_45",-0.0963613673765134,0.0660349424331538,-0.0701187870017622,"ASV_45","Eukaryota","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned"
"42","ASV_46",-0.105731548327781,-0.00529901624306118,-0.0469493746859392,"ASV_46","Eukaryota","unknown","Dinophyceae","Peridiniales","unassigned","unassigned","unassigned"
"43","ASV_47",-0.0586524005728135,0.0417249262392841,-0.045268509848296,"ASV_47","Eukaryota","Ciliophora","Spirotrichea","unassigned","unassigned","unassigned","unassigned"
"44","ASV_48",-0.0243031867448884,0.0168832737270586,0.00938707373420673,"ASV_48","Eukaryota","Chordata","Appendicularia","Copelata","Oikopleuridae","Oikopleura","unassigned"
"45","ASV_49",-0.0100396070946502,-0.00209281928950029,0.0231709903535486,"ASV_49","Eukaryota","unknown","Dinophyceae","unassigned","unassigned","unassigned","unassigned"
"46","ASV_51",-0.0671040451746301,-0.0139304637787096,-0.0429119452374614,"ASV_51","Eukaryota","unknown","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Gyrodinium","Gyrodinium rubrum"
"47","ASV_52",-0.0190949630538403,0.00842405826934747,0.00204166218811968,"ASV_52","no_hit","no_hit","no_hit","no_hit","no_hit","g_","s_"
"48","ASV_53",0.00775949465801724,-0.0290532522831407,0.0268411967989315,"ASV_53","Eukaryota","Cnidaria","Hydrozoa","Siphonophorae","unassigned","unassigned","unassigned"
"49","ASV_55",0.0140202695596564,-0.0126887204959654,0.0117726632273821,"ASV_55","Eukaryota","unknown","unknown","unknown","unknown","g_","s_"
"50","ASV_56",0.00118414618658648,0.0237634045196478,0.0146579928918848,"ASV_56","Eukaryota","Bacillariophyta","Coscinodiscophyceae","Thalassiosirales","unassigned","unassigned","unassigned"
"51","ASV_57",-0.096466633200735,-0.0523504747634979,-0.036797466569516,"ASV_57","Eukaryota","unknown","Dinophyceae","unknown","unknown","unknown","Dinophyceae sp. UDMS0803"
"52","ASV_58",-0.0322543538414659,-0.0368312136286998,0.00986612652477711,"ASV_58","Eukaryota","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned"
"53","ASV_60",-0.000280153645725171,-0.000181863278995801,-0.000678868528451946,"ASV_60","Eukaryota","unknown","Dinophyceae","Gonyaulacales","Gonyaulacaceae","Alexandrium","unassigned"
