,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV_1,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Paracalanidae,Paracalanus,unassigned
ASV_2,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,unassigned,unassigned
ASV_3,Eukaryota,unknown,Dinophyceae,Thoracosphaerales,Thoracosphaeraceae,Ensiculifera,Ensiculifera imariensis
ASV_4,Eukaryota,unknown,unknown,unknown,unknown,unknown,Acantharian sp. 6201
ASV_5,Eukaryota,unknown,Dinophyceae,unassigned,unassigned,unassigned,unassigned
ASV_6,Eukaryota,unknown,Dinophyceae,unknown,unknown,unknown,Dinophyceae sp. CCMP1878
ASV_7,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_8,Eukaryota,unknown,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Akashiwo,Akashiwo sanguinea
ASV_9,Eukaryota,unknown,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Cochlodinium,unassigned
ASV_10,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Metridinidae,Metridia,unassigned
ASV_11,Eukaryota,Chlorophyta,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_12,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,Pseudo-nitzschia australis
ASV_13,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_14,Eukaryota,unknown,unknown,unknown,unknown,unknown,phototrophic eukaryote
ASV_15,Eukaryota,Chordata,Actinopteri,unassigned,unassigned,unassigned,unassigned
ASV_16,Eukaryota,Arthropoda,Hexanauplia,Calanoida,unassigned,unassigned,unassigned
ASV_17,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,unassigned
ASV_18,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_19,Eukaryota,unknown,unknown,unknown,unknown,unknown,uncultured marine eukaryote
ASV_20,Eukaryota,unknown,Dinophyceae,unassigned,unassigned,unassigned,unassigned
ASV_21,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_22,Eukaryota,Haptista,Haptophyta,Phaeocystales,Phaeocystaceae,Phaeocystis,unassigned
ASV_23,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema,unassigned
ASV_24,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,s_
ASV_25,Eukaryota,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,unassigned,unassigned
ASV_26,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Minidiscus,unassigned
ASV_27,Eukaryota,Bacillariophyta,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_28,Eukaryota,Cnidaria,Hydrozoa,Siphonophorae,unassigned,unassigned,unassigned
ASV_29,Eukaryota,Cnidaria,Hydrozoa,Siphonophorae,unassigned,unassigned,unassigned
ASV_30,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_31,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,Pseudo-nitzschia fraudulenta
ASV_32,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_33,Eukaryota,unknown,unknown,unknown,unknown,unknown,uncultured marine picoeukaryote
ASV_34,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,unassigned
ASV_36,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_37,Eukaryota,unknown,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Alexandrium,unassigned
ASV_38,Eukaryota,Arthropoda,Hexanauplia,Calanoida,unassigned,unassigned,unassigned
ASV_39,Eukaryota,Arthropoda,Hexanauplia,Poecilostomatoida,unassigned,unassigned,unassigned
ASV_40,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,unassigned,unassigned
ASV_41,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Hemidiscaceae,Actinocyclus,Actinocyclus curvatulus
ASV_42,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_43,Eukaryota,Ctenophora,Tentaculata,Cydippida,Pleurobrachiidae,Pleurobrachia,unassigned
ASV_44,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_45,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_46,Eukaryota,unknown,Dinophyceae,Peridiniales,unassigned,unassigned,unassigned
ASV_47,Eukaryota,Ciliophora,Spirotrichea,unassigned,unassigned,unassigned,unassigned
ASV_48,Eukaryota,Chordata,Appendicularia,Copelata,Oikopleuridae,Oikopleura,unassigned
ASV_49,Eukaryota,unknown,Dinophyceae,unassigned,unassigned,unassigned,unassigned
ASV_51,Eukaryota,unknown,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gyrodinium,Gyrodinium rubrum
ASV_52,no_hit,no_hit,no_hit,no_hit,no_hit,g_,s_
ASV_53,Eukaryota,Cnidaria,Hydrozoa,Siphonophorae,unassigned,unassigned,unassigned
ASV_54,Eukaryota,Arthropoda,Malacostraca,Decapoda,unassigned,unassigned,unassigned
ASV_55,Eukaryota,unknown,unknown,unknown,unknown,g_,s_
ASV_56,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,unassigned,unassigned,unassigned
ASV_57,Eukaryota,unknown,Dinophyceae,unknown,unknown,unknown,Dinophyceae sp. UDMS0803
ASV_58,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_59,Eukaryota,Euglenozoa,unknown,Diplonemea,unknown,g_,s_
ASV_60,Eukaryota,unknown,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Alexandrium,unassigned
ASV_61,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_62,Eukaryota,unknown,Dinophyceae,Peridiniales,Peridiniaceae,Pentapharsodinium,unassigned
ASV_63,Eukaryota,unknown,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Alexandrium,unassigned
ASV_64,Eukaryota,unknown,Cryptophyceae,unassigned,unassigned,unassigned,unassigned
ASV_65,Eukaryota,unknown,Dinophyceae,unknown,unknown,Spiniferites,Spiniferites ramosus
ASV_66,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_67,Eukaryota,unknown,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Adenoides,Adenoides eludens
ASV_68,Eukaryota,Bacillariophyta,Mediophyceae,Cymatosirales,Cymatosiraceae,Minutocellus,Minutocellus polymorphus
ASV_70,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,unassigned
ASV_71,Eukaryota,unknown,unknown,unknown,unknown,unknown,eukaryote clone OLI11305
ASV_72,Eukaryota,Arthropoda,Hexanauplia,Harpacticoida,Euterpinidae,Euterpina,Euterpina acutifrons
ASV_73,Eukaryota,Arthropoda,Hexanauplia,Calanoida,unassigned,unassigned,unassigned
ASV_74,Eukaryota,unknown,Dinophyceae,unassigned,unassigned,unassigned,unassigned
ASV_76,Eukaryota,unknown,Dinophyceae,Prorocentrales,Prorocentraceae,Prorocentrum,Prorocentrum triestinum
ASV_77,Eukaryota,unknown,unknown,unknown,unknown,g_,s_
ASV_78,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_79,Eukaryota,unknown,Polycystinea,Collodaria,Sphaerozoidae,unassigned,unassigned
ASV_80,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_81,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_82,Eukaryota,Mollusca,Gastropoda,Lepetellida,Lepetodrilidae,unassigned,unassigned
ASV_83,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,unassigned,unassigned
ASV_84,Eukaryota,unknown,Dinophyceae,Syndiniales,Amoebophryaceae,Amoebophrya,unassigned
ASV_85,Eukaryota,Ciliophora,Spirotrichea,unknown,Strombidiidae,Strombidium,s_
ASV_86,Eukaryota,unknown,Dinophyceae,Peridiniales,Heterocapsaceae,Heterocapsa,Heterocapsa rotundata
ASV_87,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_88,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Rhizosoleniales,Rhizosoleniaceae,Rhizosolenia,Rhizosolenia setigera
ASV_89,no_hit,no_hit,no_hit,no_hit,no_hit,g_,s_
ASV_90,Eukaryota,Ciliophora,Spirotrichea,unknown,Strombidiidae,g_,s_
ASV_91,Eukaryota,Cnidaria,Hydrozoa,Trachymedusae,Geryoniidae,Liriope,Liriope tetraphylla
