ASV,Kingdom,Domain,Phylum,Class,Order,Family,Genus,Species,taxonomy,Supergroup,Division
ASV_1,Archaeplastida,Eukaryota,not_provided,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,Micromonas_polaris,not_provided,Chlorophyta,Chlorophyta_X
ASV_2,Haptista,Eukaryota,not_provided,Prymnesiophyceae,Phaeocystales,Phaeocystaceae,Phaeocystis,Phaeocystis_pouchetii,not_provided,Haptophyta,Haptophyta_X
ASV_3,TSAR,Eukaryota,not_provided,Mediophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,not_provided,not_provided,Stramenopiles,Gyrista
ASV_4,Eukaryota,not_provided,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,unassigned,not_provided,not_provided,not_provided
ASV_5,TSAR,Eukaryota,not_provided,Coscinodiscophyceae,Melosirales,Melosiraceae,Melosira,Melosira_arctica,not_provided,Stramenopiles,Gyrista
ASV_6,Eukaryota,not_provided,Bacillariophyta,Coscinodiscophyceae,Melosirales,Melosiraceae,Melosira,unassigned,not_provided,not_provided,not_provided
ASV_7,TSAR,Eukaryota,not_provided,Syndiniales,Dino-Group-I,Dino-Group-I-Clade-1,Dino-Group-I-Clade-1_X,Dino-Group-I-Clade-1_X_sp.,not_provided,Alveolata,Dinoflagellata
ASV_8,TSAR,Eukaryota,not_provided,Dinophyceae,Prorocentrales,Prorocentraceae,Prorocentrum,not_provided,not_provided,Alveolata,Dinoflagellata
ASV_9,Haptista,Eukaryota,not_provided,Prymnesiophyceae,Isochrysidales,Isochrysidaceae,Isochrysis,Isochrysis_galbana,not_provided,Haptophyta,Haptophyta_X
ASV_10,Eukaryota,not_provided,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,unassigned,not_provided,not_provided,not_provided
ASV_11,TSAR,Eukaryota,not_provided,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gyrodinium,Gyrodinium_spirale,not_provided,Alveolata,Dinoflagellata
ASV_12,Haptista,Eukaryota,not_provided,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Gephyrocapsa,Gephyrocapsa_oceanica,not_provided,Haptophyta,Haptophyta_X
ASV_13,Eukaryota,not_provided,unknown,Dinophyceae,Thoracosphaerales,Thoracosphaeraceae,Ensiculifera,Ensiculifera imariensis,not_provided,not_provided,not_provided
ASV_14,TSAR,Eukaryota,not_provided,Mediophyceae,Eupodiscales,Odontellaceae,Odontella,Odontella_rostrata,not_provided,Stramenopiles,Gyrista
ASV_15,Obazoa,Eukaryota,not_provided,Arthropoda,Crustacea,Maxillopoda,Paracalanus,Paracalanus_parvus,not_provided,Opisthokonta,Metazoa
ASV_16,Obazoa,Eukaryota,not_provided,Arthropoda,Crustacea,Maxillopoda,not_provided,not_provided,not_provided,Opisthokonta,Metazoa
ASV_17,TSAR,Eukaryota,not_provided,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gyrodinium,Gyrodinium_helveticum,not_provided,Alveolata,Dinoflagellata
ASV_18,TSAR,Eukaryota,not_provided,Mediophyceae,Thalassiosirales,Thalassiosiraceae,Conticribra,Conticribra_weissflogii,not_provided,Stramenopiles,Gyrista
ASV_19,Eukaryota,not_provided,Chlorophyta,Pyramimonadophyceae,Pyramimonadales,Pyramimonadaceae,Pyramimonas,Pyramimonas parkeae,not_provided,not_provided,not_provided
ASV_20,Haptista,Eukaryota,not_provided,Prymnesiophyceae,Phaeocystales,Phaeocystaceae,Phaeocystis,Phaeocystis_globosa,not_provided,Haptophyta,Haptophyta_X
ASV_21,Archaeplastida,Eukaryota,not_provided,Mamiellophyceae,Mamiellales,Bathycoccaceae,Ostreococcus,Ostreococcus_lucimarinus,not_provided,Chlorophyta,Chlorophyta_X
ASV_22,TSAR,Eukaryota,not_provided,Mediophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,not_provided,not_provided,Stramenopiles,Gyrista
ASV_23,TSAR,Eukaryota,not_provided,Mediophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros_socialis,not_provided,Stramenopiles,Gyrista
