,PC1,PC2,PC3,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV_9353,0.012277436306293613,-0.004010048760598878,0.002892611698697315,,,Dinophyceae,,,,
ASV_9354,0.011123955956149876,-0.0024630248581148702,0.0065538888479349305,,,Bigyra,Nanomonadea,,,
ASV_9355,0.00695163437290477,-0.0014417604416856152,0.004064621858856164,,,Dinophyceae,,,,
ASV_9356,0.01114282220392434,-0.0025533119073739706,0.006639607670352921,,Cercozoa,,,,,
ASV_9357,0.012036084107018513,-0.010337374131632502,-0.01167820743590384,,,Choanoflagellata,Acanthoecida,Stephanoecidae,,
ASV_9358,0.010029377696326464,-0.002352862986587676,0.006072191454381964,,,Dinophyceae,,,,
ASV_9359,-0.0025205045262187767,-0.003587956510461474,0.0017777420925895158,,,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gyrodinium,
ASV_9360,0.011291330625611658,-0.009378122337589586,-0.0077912647478670565,,,Dinophyceae,Gonyaulacales,Amphidomataceae,Azadinium,Azadinium trinitatum
ASV_9361,0.008997787461416103,-0.006951201515105406,-0.010078976239052104,,,Pelagophyceae,Pelagomonadales,Pelagomonadaceae,Aureococcus,Aureococcus anophagefferens
ASV_9362,0.0006403631991400956,0.003850976448377297,-0.0010628587685217658,,,Dinophyceae,Peridiniales,Heterocapsaceae,Heterocapsa,Heterocapsa steinii
ASV_9363,0.008261445284772405,-0.0018405732657167,0.004820190684245338,,,Dinophyceae,Gonyaulacales,Ceratiaceae,Tripos,Tripos contrarius
ASV_9364,-0.002254257981868459,0.0005172872092093285,0.0008635469482830109,,,Dictyochophyceae,Pedinellales,,,
ASV_9365,0.00046053743811034185,0.0005208837550859003,0.0037902407500421957,,,,,,,
ASV_9366,0.07723711870231692,-0.0012145623178955562,0.03728268475539448,,,Dinophyceae,Peridiniales,Heterocapsaceae,Heterocapsa,Heterocapsa pygmaea
ASV_9367,0.011670927797645668,-0.00557395114455934,-0.0007945691951587573,,,Dinophyceae,,,,
ASV_9368,0.0012694673022154662,-0.00496437717504792,-0.011306784006647108,,,Bigyra,Nanomonadea,,,
ASV_9369,-0.010199500587128445,0.003434399826441931,-0.0030601840129792796,,Picozoa,,,,,
ASV_9370,0.003178664190300534,0.008267836079907774,-0.00039463888411480936,,Cercozoa,,,,,
ASV_9371,0.011733173494378737,0.007477164048791547,-0.017940267730549193,,Cercozoa,Chlorarachniophyceae,,,,
ASV_9372,0.0012148827282389512,-0.0050491969548771744,-0.011233779044635761,,,Dinophyceae,,,,
ASV_9373,-0.005094522395215914,-0.005666729613047193,0.002938232699250556,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Meuniera,Meuniera membranacea
ASV_9374,0.0012115622495329126,-0.00342738118321778,-0.005993739182011398,,Picozoa,,,,,
ASV_9375,0.011502936210507766,-0.002575816923661313,0.006766916719021358,,,Dinophyceae,,,,
ASV_9376,0.011948535372418356,-0.002645192242998945,0.007163849263681877,,Ciliophora,Spirotrichea,,Strombidiidae,,
ASV_9377,0.016508958869495237,-0.014436415849838806,-0.013313849572126502,,,Chrysophyceae,,,,
ASV_9378,0.014995429375813496,0.024750410874351765,-0.004787159144454804,,,Polycystinea,Nassellaria,Cannobotryidae,,
ASV_9379,0.00020394111128783083,0.0007024411224575481,-0.0033692824145967,,Cercozoa,Thecofilosea,Ventricleftida,Ventrifissuridae,,
ASV_9380,0.0004937969688476367,0.0020685373457908903,-0.0001324497646223097,,Cercozoa,Thecofilosea,,,,
