,PC1,PC2,PC3,Analyzing_Institute,Collecting_Institute
Davenport_02_0008,-0.10810827573980963,-0.19823515036733796,-0.09505728373030428,AWI,MBARI
Davenport_06_0008,-0.10114817533209286,-0.20192591445979546,-0.08802044210971749,AWI,MBARI
Davenport_11_0008,-0.09893524601044659,-0.21835476494258899,-0.09423605390313594,AWI,MBARI
Davenport_15_0008,-0.11940728837456115,-0.234977333945029,-0.08694013768729543,AWI,MBARI
Davenport_19_0008,-0.09944017355877774,-0.2476137615408689,-0.09721211887008921,AWI,MBARI
Framstrait_01_0008,-0.18425349826253853,0.1529507347317141,-0.063036275284657,AWI,AWI
Framstrait_05_0008,-0.1743049531999055,0.1453658487365373,-0.07666721259244323,AWI,AWI
Framstrait_09_0008,-0.14943246667092927,0.09672974490903333,-0.06989189456606847,AWI,AWI
Framstrait_13_0008,-0.1762122977329597,0.14434749883276835,-0.08168542590621415,AWI,AWI
Framstrait_17_0008,-0.16654068502746186,0.12891710302604314,-0.07980498219822871,AWI,AWI
Bedford_01_0049,-0.012743861910954215,0.11779998689427293,0.15203196473042957,AWI,UDalhousie
Bedford_07_0049,-0.02046830416989306,0.09457479882443728,0.14752282619356938,AWI,UDalhousie
Bedford_13_0049,-0.026359757376347385,0.07705809799922494,0.1563295803384956,AWI,UDalhousie
Bedford_19_0049,-0.02765303968831631,0.06689539729497264,0.13187610216252438,AWI,UDalhousie
Bedford_25_0049,-0.029382964633516282,0.09780525563635266,0.1519011583220492,AWI,UDalhousie
blank_01_0049,0.10226653561626035,0.039248940271814345,-0.30510950287911437,AWI,
bloomMock_01_0049,0.1846669887768245,0.06690002848207213,-0.1322444129067298,AWI,BLOOMMOCK
bloomMock_02_0049,0.12537728553955105,-0.027699124349006822,-0.07742794355960969,AWI,BLOOMMOCK
bloomMock_03_0049,0.19563634643729286,0.06833410401160805,-0.13159909984548473,AWI,BLOOMMOCK
bloomMock_04_0049,0.1762848295172055,0.08231026190954882,-0.18391507262409815,AWI,BLOOMMOCK
bloomMock_05_0049,0.19227194160592745,0.08392178861654875,-0.14111544891770106,AWI,BLOOMMOCK
Davenport_02_0049,-0.11774647721322586,-0.25267082556664244,-0.02177581633687989,AWI,MBARI
Davenport_06_0049,-0.12899793868062068,-0.25764898024233407,-0.02109265581663561,AWI,MBARI
Davenport_11_0049,-0.129625942881025,-0.2586578518191292,-0.04150917220451217,AWI,MBARI
Davenport_15_0049,-0.10199480187467459,-0.24968374811072414,-0.02914725568108598,AWI,MBARI
Davenport_19_0049,-0.0954953738319713,-0.26015151168835426,-0.053673053358345164,AWI,MBARI
evenMock_01_0049,0.21458802457790083,0.07927232636057686,-0.1718527761713505,AWI,EVENMOCK
evenMock_02_0049,0.24790525845525269,0.10486785861218738,-0.12901406710538918,AWI,EVENMOCK
evenMock_03_0049,0.1660768569195308,0.038955695999534815,-0.17703148098540683,AWI,EVENMOCK
evenMock_04_0049,0.1984633686123207,0.05920702522972204,-0.15966316817207196,AWI,EVENMOCK
evenMock_05_0049,0.17853925779103783,0.07871981470255829,-0.208718170218558,AWI,EVENMOCK
Framstrait_01_0049,-0.19434843077660752,0.17069316335777418,-0.013143359629569789,AWI,AWI
Framstrait_05_0049,-0.19370488132052288,0.17934179967085354,-0.010762252172306109,AWI,AWI
Framstrait_09_0049,-0.1845192291597191,0.18351724692647187,-0.027579164715941573,AWI,AWI
Framstrait_13_0049,-0.18982272494521132,0.1728016977299399,-0.004747320561413698,AWI,AWI
Framstrait_17_0049,-0.1833709561300954,0.18330487814888788,-0.01684217967765268,AWI,AWI
LaJolla_03_0049,0.18894731426457398,-0.1058649754721546,0.1757885772294026,AWI,NOAA
LaJolla_09_0049,0.19818561995938183,-0.1219756077124275,0.177483335247633,AWI,NOAA
LaJolla_15_0049,0.16260359977809227,-0.11300099864420225,0.16966243589614227,AWI,NOAA
LaJolla_21_0049,0.18404855254378263,-0.11203451590068414,0.17606022762321874,AWI,NOAA
LaJolla_27_0049,0.19813359560630653,-0.12364479042368609,0.18862303047729706,AWI,NOAA
Plymouth_06_0049,0.00915194512004164,0.05939791718675771,0.25044516962496743,AWI,NOC
Plymouth_13_0049,0.021798351802721536,0.06577428248055346,0.23404372334683704,AWI,NOC
Plymouth_19_0049,0.036852870588529346,0.06742095115221698,0.25625383822610426,AWI,NOC
Plymouth_29_0049,0.02015021371412542,0.04628359314109186,0.24698127419144852,AWI,NOC
Plymouth_30_0049,0.01206898727552666,0.03142201430889029,0.27551195677789003,AWI,NOC
