#OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_9353			Dinophyceae				
ASV_9354			Bigyra	Nanomonadea			
ASV_9355			Dinophyceae				
ASV_9356		Cercozoa					
ASV_9357			Choanoflagellata	Acanthoecida	Stephanoecidae		
ASV_9358			Dinophyceae				
ASV_9359			Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gyrodinium	
ASV_9360			Dinophyceae	Gonyaulacales	Amphidomataceae	Azadinium	Azadinium trinitatum
ASV_9361			Pelagophyceae	Pelagomonadales	Pelagomonadaceae	Aureococcus	Aureococcus anophagefferens
ASV_9362			Dinophyceae	Peridiniales	Heterocapsaceae	Heterocapsa	Heterocapsa steinii
ASV_9363			Dinophyceae	Gonyaulacales	Ceratiaceae	Tripos	Tripos contrarius
ASV_9364			Dictyochophyceae	Pedinellales			
ASV_9365							
ASV_9366			Dinophyceae	Peridiniales	Heterocapsaceae	Heterocapsa	Heterocapsa pygmaea
ASV_9367			Dinophyceae				
ASV_9368			Bigyra	Nanomonadea			
ASV_9369		Picozoa					
ASV_9370		Cercozoa					
ASV_9371		Cercozoa	Chlorarachniophyceae				
ASV_9372			Dinophyceae				
ASV_9373		Bacillariophyta	Bacillariophyceae	Naviculales	Naviculaceae	Meuniera	Meuniera membranacea
ASV_9374		Picozoa					
ASV_9375			Dinophyceae				
ASV_9376		Ciliophora	Spirotrichea		Strombidiidae		
ASV_9377			Chrysophyceae				
ASV_9378			Polycystinea	Nassellaria	Cannobotryidae		
ASV_9379		Cercozoa	Thecofilosea	Ventricleftida	Ventrifissuridae		
ASV_9380		Cercozoa	Thecofilosea				
ASV_9381		Cercozoa	Thecofilosea				
ASV_9382		Haptophyta		Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis globosa
ASV_9383			Dinophyceae				
ASV_9384			Dinophyceae				
ASV_9385							
ASV_9386			Dinophyceae	Prorocentrales	Prorocentraceae	Prorocentrum	
ASV_9387			Dinophyceae				
ASV_9388			Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gyrodinium	
ASV_9389		Picozoa					
ASV_9390		Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Skeletonemataceae	Skeletonema	Skeletonema pseudocostatum
ASV_9391						Telonemia	
ASV_9392		Bacillariophyta	Coscinodiscophyceae	Chaetocerotales	Chaetocerotaceae	Chaetoceros	Chaetoceros didymus
ASV_9393			Bolidophyceae	Parmales			
ASV_9394		Haptophyta					
ASV_9395	Metazoa	Cnidaria	Hydrozoa	Anthoathecata	Tubulariidae	Ectopleura	
ASV_9396	Metazoa	Arthropoda	Hexanauplia	Calanoida	Acartiidae	Acartia	
ASV_9397			Cryptophyceae	Cryptomonadales			
ASV_9398		Bacillariophyta	Coscinodiscophyceae	Asterolamprales	Asterolampraceae	Asteromphalus	
ASV_9399		Bacillariophyta	Bacillariophyceae	Naviculales	Naviculaceae	Meuniera	Meuniera membranacea
ASV_9400		Bacillariophyta	Coscinodiscophyceae	Chaetocerotales	Chaetocerotaceae	Chaetoceros	Chaetoceros anastomosans
ASV_9401		Haptophyta		Prymnesiales	Chrysochromulinaceae	Chrysochromulina	
