,PC1,PC2,PC3,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV_2,0.14750960309968933,0.020383573748867616,0.20782623453837967,,Bacillariophyta,Coscinodiscophyceae,,,,
ASV_3,0.14363846960690815,0.02607363189385411,0.203585588662083,,Bacillariophyta,Coscinodiscophyceae,Melosirales,Melosiraceae,Melosira,
ASV_4,0.13653082068102843,0.03432064651828894,0.19457404503652062,,Bacillariophyta,Bacillariophyceae,,,,
ASV_5,-0.07384991221607116,0.006426432937705177,0.12546923621835632,,,Dinophyceae,Peridiniales,Ensiculiferaceae,Ensiculifera,Ensiculifera imariensis
ASV_8,0.1356492788869832,0.018986859404018605,0.18325542929484348,Viridiplantae,Chlorophyta,Pyramimonadophyceae,Pyramimonadales,Pyramimonadaceae,Pyramimonas,Pyramimonas parkeae
ASV_10,0.1402224182980343,0.02508841604433002,0.18055757896494037,,Bacillariophyta,Mediophyceae,,,,
ASV_11,-0.06585797915070953,-0.11579357112903305,0.046003448447726816,,,,,,,
ASV_12,-0.12252443855793899,0.023003740886769916,0.09961992025797609,,,,,,,
ASV_15,0.014944018719374482,-0.0007008126855999573,0.2610796820838269,,,Dinophyceae,,,,
ASV_16,0.1309819074576132,0.02489632439214666,0.17690311289785038,,,Dinophyceae,,,,
ASV_20,-0.059615651976112856,-0.1015632317052706,0.03338740382413282,,,,,,,
ASV_21,0.14487545231352292,0.01881079998683366,0.15737571776915033,,Haptophyta,,,,,
ASV_23,0.023545309591710688,-0.004524193383900844,0.22163786659607562,,Haptophyta,,Phaeocystales,Phaeocystaceae,Phaeocystis,
ASV_24,0.13859259390763942,0.025915523383494406,0.15645205914701688,,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,
ASV_25,-0.10251793896503893,0.074912450747372,0.03516364967229973,,Ciliophora,Spirotrichea,,Strombidiidae,Strombidium,
ASV_29,0.004794052668852426,-0.009108810635242381,0.0038593654221847884,,,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Spiniferites,
ASV_31,-0.0845901972561114,0.09516731693140651,0.029159044703847545,,Bacillariophyta,Coscinodiscophyceae,,,,
ASV_32,-0.05959373577915475,0.012858072763366727,0.06158281874895715,,,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gyrodinium,Gyrodinium rubrum
ASV_35,-0.060731673597931184,0.10989935618643235,0.018090590657652828,Metazoa,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,
ASV_38,-0.020680091021640562,-0.03570225240419868,0.0046075664953971205,Metazoa,Arthropoda,Hexanauplia,Cyclopoida,,,
ASV_39,0.04168926693388653,-0.00940829375583438,0.07254811173070976,Metazoa,Arthropoda,Hexanauplia,Calanoida,,,
ASV_42,0.12263555480515222,0.025185081694553087,0.14781068698009914,,Haptophyta,,Prymnesiales,,,
ASV_43,0.12615740898329372,0.006466599543892475,0.14494027986721583,,,Dinophyceae,,,,
ASV_44,-0.0208172768440991,-0.01397490662218368,-0.006385570160414086,,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Minidiscus,
ASV_46,-0.025209831021967433,-0.04494509604847932,-0.002043875763049516,Metazoa,Arthropoda,Hexanauplia,Calanoida,Centropagidae,Sinocalanus,
ASV_47,-0.10273747975803696,-0.05436212095383677,0.060792021592591027,,,,,,,
ASV_51,-0.022709904122761377,0.03775801456166413,0.01025438123251241,,Cercozoa,Thecofilosea,,Ebriacea,Ebria,Ebria tripartita
ASV_52,-0.030290725996742075,-0.031528480952408545,-0.01964519105856697,Metazoa,Arthropoda,Hexanauplia,Calanoida,,,
ASV_55,-0.06190645165141467,-0.016881562434705025,0.03257598037926016,Metazoa,Arthropoda,Hexanauplia,Calanoida,Paracalanidae,Paracalanus,Paracalanus parvus
ASV_56,-0.09913884789725597,-0.04840662502050098,0.05749779430913764,,Bacillariophyta,Mediophyceae,Cymatosirales,Cymatosiraceae,Minutocellus,Minutocellus polymorphus
ASV_58,0.10934394616542537,0.029393660268062914,0.12852099464782832,Viridiplantae,Chlorophyta,Pyramimonadophyceae,Pyramimonadales,Pyramimonadaceae,Pyramimonas,Pyramimonas parkeae
ASV_67,-0.09191385562692223,0.049740372726228055,0.03932692577367662,,,Dinophyceae,,,,Dinophyceae sp. UDMS0803
ASV_68,-0.10524201675278785,0.036322534289635056,0.03577218606166398,,,Cryptophyceae,,,,
ASV_69,-0.09751395529954911,0.004956657086935546,0.06018130713869003,,,Dinophyceae,,,,
ASV_70,-0.05908973891574695,0.10185061430030795,0.005270450666198673,Metazoa,Mollusca,Bivalvia,Mytilida,Mytilidae,Mytilus,
ASV_71,-0.10515357149130036,0.027442621206819378,0.040275021799104596,,,Dinophyceae,,,,
ASV_72,0.11492091527507158,0.040056280450905916,0.1163964037909747,,Bacillariophyta,Coscinodiscophyceae,Melosirales,Melosiraceae,Melosira,
ASV_73,-0.10754344505408486,0.004646996448822815,0.05878460828280261,,,Cryptophyceae,,,,
ASV_74,0.10635275922783444,0.02612574009501133,0.11821124246928577,,Bacillariophyta,Coscinodiscophyceae,,,,
ASV_76,0.10507835336754319,0.014233078914334367,0.12103551743616413,,Bacillariophyta,Coscinodiscophyceae,Melosirales,Melosiraceae,Melosira,
ASV_77,-0.06348092689720426,0.08168271207917147,0.027244370719256193,,,,,,,phototrophic eukaryote
ASV_78,-0.09119534867378346,-0.08034019315683431,0.03257945477877282,Viridiplantae,Chlorophyta,,,,,
ASV_80,-0.10376077177833652,-0.02853081582699955,0.05678172376164891,,,,,,,
ASV_82,-0.021704580575909824,-0.024526991178543414,0.005498563642644376,Metazoa,Bryozoa,Gymnolaemata,Cheilostomatida,Membraniporidae,Membranipora,
ASV_88,-0.07982757964443914,0.06864702709375856,0.015720413011669234,,Cercozoa,Thecofilosea,,Ebriacea,Ebria,Ebria tripartita
ASV_90,-0.036347396041268874,-0.0608841493278669,0.031428509630817204,Metazoa,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,Pseudocalanus elongatus
ASV_92,-0.026943754812530103,-0.027636528122623814,-0.010898754048039177,Metazoa,Arthropoda,Hexanauplia,Calanoida,Paracalanidae,Paracalanus,
ASV_94,-0.055702601256980074,-0.030574270697537327,0.1242865643888916,,,Dinophyceae,,,,Dinophyceae sp. CCMP1878
ASV_98,-0.005582822236824086,-0.012475208322754235,0.002231919771383951,,,Dinophyceae,Gonyaulacales,Pyrocystaceae,Dissodinium,Dissodinium pseudolunula
ASV_103,-0.04383686495612164,0.05133308325354985,0.011391779298376094,,,,,,,
ASV_105,-0.017982724380931864,0.06995200915149342,0.10512177622821317,,Haptophyta,,Isochrysidales,,,
ASV_106,-0.04196899143274731,0.01379710108254758,-0.004882004317172173,,,Dinophyceae,,,,
ASV_108,-0.004918738370916291,0.009037619616293523,-0.0210550739136662,Metazoa,Arthropoda,Malacostraca,Euphausiacea,,,
ASV_113,-0.031039854727570964,0.05910789074779605,0.010587188843786385,Metazoa,Ctenophora,Tentaculata,Cydippida,,,
ASV_115,-0.0808520604486783,-0.04532065354072379,0.0616299828622978,,Bacillariophyta,Coscinodiscophyceae,,,,
ASV_117,-0.01092449695461418,-0.03024195108014571,0.01069067983260163,Metazoa,Bryozoa,Gymnolaemata,Cheilostomatida,,,
ASV_118,-0.021848479759070383,-0.026464172263238706,0.008204582274559754,Metazoa,Arthropoda,Hexanauplia,Cyclopoida,Oithonidae,Oithona,Oithona sp. Roadstead of Brest
ASV_128,-0.017016774547687376,-0.019812943934096973,0.004871202996373694,,,Dinophyceae,,,,
ASV_133,-0.048684652621812916,0.0804348323172561,0.001352234449531603,Metazoa,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,
ASV_136,0.09763069308813734,0.028514589733917836,0.10631154667001888,,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,Pseudo-nitzschia seriata
ASV_139,-0.01255305213226932,0.02133619871003849,0.0016043594678860535,,,,,,,
ASV_146,-0.007783526617283172,-0.034928065457377526,0.012362947471317635,Viridiplantae,Chlorophyta,Chlorodendrophyceae,Chlorodendrales,,,
ASV_147,-0.03520064995370138,0.06020217562698236,-0.0013525066808706757,Metazoa,Arthropoda,Hexanauplia,Calanoida,Centropagidae,Centropages,
ASV_149,0.08475210500772555,0.013267000317573758,0.10827366208577058,,,Dinophyceae,Gonyaulacales,Pyrocystaceae,Alexandrium,Alexandrium minutum
ASV_150,-0.009013910332323936,-0.021349144292058263,-0.001011830924582253,Metazoa,Mollusca,Bivalvia,Ostreida,Ostreidae,Lopha,Lopha cristagalli
ASV_154,-0.04526726563427475,0.09980943456710867,-0.004729221881734453,,,Dinophyceae,,,,
ASV_158,-0.07935079858748438,-0.009800346368395546,0.03890988208031277,,Bacillariophyta,Coscinodiscophyceae,,,,
ASV_159,-0.05173346350832406,0.0857388256280767,0.006555184428017351,,,Dinophyceae,Syndiniales,Amoebophryaceae,Amoebophrya,Amoebophrya sp. ex Prorocentrum micans
ASV_160,-0.013820123821845874,-0.020016027709848786,0.012224401336190955,Metazoa,Bryozoa,Gymnolaemata,Cheilostomatida,,,
ASV_161,-0.0565334077168696,0.0768191699886426,0.006205527502775357,,,Dinophyceae,Gonyaulacales,Ceratiaceae,Tripos,
ASV_163,0.0030938451976274144,0.004619012107256288,0.14864244538969007,,,,,,,Acantharian sp. 6201
ASV_169,-0.062398088849429656,-0.03158194784266636,0.052063237183193375,,,,,,,
ASV_171,0.0820202422121612,0.02225795723393477,0.10335444478115123,Viridiplantae,Chlorophyta,Pyramimonadophyceae,Pyramimonadales,Pyramimonadaceae,Pyramimonas,Pyramimonas parkeae
ASV_177,-0.07740475058739564,-0.03948624683163303,0.03800387181873947,Viridiplantae,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,
ASV_178,-0.07553098117602863,0.023157736679710737,0.04332084031959893,,,Cryptophyceae,,,,
ASV_184,-0.000502374886369974,-0.00986683284448285,-0.0058239754739860365,Metazoa,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa,
