#OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_4	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	unassigned
ASV_6	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Melosirales	Melosiraceae	Melosira	unassigned
ASV_10	Eukaryota	Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Pseudo-nitzschia	unassigned
ASV_13	Eukaryota	unknown	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	Ensiculifera	Ensiculifera imariensis
ASV_19	Eukaryota	Chlorophyta	Pyramimonadophyceae	Pyramimonadales	Pyramimonadaceae	Pyramimonas	Pyramimonas parkeae
ASV_24	Eukaryota	Bacillariophyta	Mediophyceae	unassigned	unassigned	unassigned	unassigned
ASV_26	Eukaryota	unknown	unknown	unknown	unknown	unknown	uncultured marine eukaryote
ASV_28	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_31	Eukaryota	unknown	Dinophyceae	unassigned	unassigned	unassigned	unassigned
ASV_33	Eukaryota	unknown	Dinophyceae	Gymnodiniales	unassigned	unassigned	unassigned
ASV_41	Eukaryota	unknown	unknown	unknown	unknown	unknown	uncultured marine picoeukaryote
ASV_43	Eukaryota	Haptista	Haptophyta	unassigned	unassigned	unassigned	unassigned
ASV_47	Eukaryota	Haptista	Haptophyta	Phaeocystales	Phaeocystaceae	Phaeocystis	unassigned
ASV_48	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Chaetocerotales	Chaetocerotaceae	Chaetoceros	unassigned
ASV_50	Eukaryota	Ciliophora	Spirotrichea	unknown	Strombidiidae	Strombidium	Strombidium caudispina
ASV_55	Eukaryota	unknown	Dinophyceae	unknown	unknown	Spiniferites	Spiniferites ramosus
ASV_56	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Thalassiosiraceae	unassigned	unassigned
ASV_57	Eukaryota	unknown	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gyrodinium	Gyrodinium rubrum
ASV_65	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	unassigned
ASV_69	Eukaryota	Arthropoda	Hexanauplia	Cyclopoida	Oithonidae	unassigned	unassigned
ASV_70	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Calanidae	unassigned	unassigned
ASV_76	Eukaryota	Haptista	Haptophyta	Prymnesiales	Prymnesiaceae	Prymnesium	unassigned
ASV_80	Eukaryota	unknown	Dinophyceae	Peridiniales	Heterocapsaceae	unassigned	unassigned
ASV_81	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Thalassiosiraceae	Minidiscus	unassigned
ASV_84	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Centropagidae	Sinocalanus	unassigned
ASV_85	Eukaryota	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_89	Eukaryota	Cercozoa	Thecofilosea	unknown	Ebriacea	Ebria	Ebria tripartita
ASV_90	Eukaryota	Arthropoda	Hexanauplia	Calanoida	unassigned	unassigned	unassigned
ASV_93	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Paracalanidae	Paracalanus	Paracalanus parvus
ASV_95	Eukaryota	Bacillariophyta	Mediophyceae	Cymatosirales	Cymatosiraceae	Minutocellus	Minutocellus polymorphus
ASV_100	Eukaryota	Chlorophyta	unknown	Pyramimonadales	unknown	Pyramimonas	Pyramimonas parkeae
ASV_107	Eukaryota	unknown	Dinophyceae	unknown	unknown	unknown	Dinophyceae sp. UDMS0803
ASV_108	Eukaryota	unknown	Cryptophyceae	unassigned	unassigned	unassigned	unassigned
ASV_109	Eukaryota	unknown	Dinophyceae	Peridiniales	unassigned	unassigned	unassigned
ASV_112	Eukaryota	Mollusca	Bivalvia	Mytiloida	Mytilidae	Mytilus	unassigned
ASV_113	Eukaryota	unknown	Dinophyceae	Syndiniales	unassigned	unassigned	unassigned
ASV_114	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Melosirales	Melosiraceae	Melosira	unassigned
