,PC1,PC2,PC3,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV_6,0.00123310351940455,0.008371498099218808,-0.004548275778631402,,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Conticribra,
ASV_7,0.019905970731665498,0.03493067405221661,0.020171214616629234,,Bacillariophyta,Coscinodiscophyceae,Melosirales,Melosiraceae,Melosira,
ASV_9,0.0058185806919885865,0.01472885679928967,0.0019588546386319797,,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,
ASV_13,-0.05057693143386096,-0.08397238157303442,-0.2171248056579385,,,Dinophyceae,,,,
ASV_18,0.10307910522400232,0.05848781787696267,-0.17153461133593534,,,,,,,
ASV_19,-0.07356000952104012,-0.13736964423448242,-0.08494718344360987,Metazoa,Arthropoda,,,,,
ASV_22,0.0015637192973736943,0.007480026656952512,-0.002743639512829699,Viridiplantae,Chlorophyta,Pyramimonadophyceae,Pyramimonadales,Pyramimonadaceae,Pyramimonas,
ASV_26,-0.09633929181932414,-0.13749896716448898,-0.12788007311738056,Viridiplantae,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,
ASV_27,0.040424416308279976,-0.024839896007549548,-0.16172855749156403,,,Dinophyceae,,,,
ASV_30,0.001283580271659441,0.007012226203989603,-0.0031530042108879643,,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,
ASV_34,-0.016843121195968595,-0.018897506761368508,-0.0270718879411043,,,Dinophyceae,Gymnodiniales,Kareniaceae,Karlodinium,
ASV_36,0.1409749088827367,0.026757510719159133,-0.09135853007006516,,,,,,,
ASV_40,-0.060046610572163865,0.051610109341981486,-0.19323079230263773,Metazoa,Arthropoda,,,,,
ASV_41,0.00647233051469709,-0.01050088658223998,-0.17910044355121355,,Haptophyta,,Phaeocystales,Phaeocystaceae,Phaeocystis,
ASV_45,0.0010120948513967754,0.005474403622590881,-0.0027752898983157887,,Haptophyta,,Isochrysidales,Isochrysidaceae,Isochrysis,
ASV_48,0.0010286622105587125,0.005485650304723139,-0.0026056939541798034,,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,
ASV_53,-0.02187035681602432,0.1572942310392101,-0.09813998700625585,Metazoa,Arthropoda,Hexanauplia,Calanoida,Paracalanidae,Paracalanus,
ASV_54,0.10763898800770158,0.07111689742811089,-0.10505925359094909,Metazoa,Chordata,Appendicularia,Copelata,Oikopleuridae,Oikopleura,
ASV_57,-0.06144671749882073,-0.08789253245342826,-0.1326387959256697,,Ciliophora,Spirotrichea,,,,
ASV_60,0.10412634982010763,0.12607917272979074,-0.07968212090791953,Viridiplantae,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,
ASV_61,-0.04615177518527708,-0.07591916771375998,-0.14343048187147084,,,Dinophyceae,,,,
ASV_63,0.09332626404185415,0.0824958956253585,-0.10554917189393317,,,,,,,
ASV_64,-0.10105784811338782,-0.013147731863928478,-0.1536179893009928,,Ciliophora,Spirotrichea,,,,
ASV_65,0.11211728249852274,0.05148827894430084,-0.09362818918209463,Viridiplantae,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae,Ostreococcus,
ASV_75,0.09480387916526309,0.0744297936518881,-0.10069140002600883,,,,,,,
ASV_79,0.03586813007429576,-0.014933747461171215,-0.007217541303952891,,,Dinophyceae,Peridiniales,Heterocapsaceae,Heterocapsa,
ASV_81,0.0007814639584510953,0.003914089395791619,-0.002113443501831146,,Haptophyta,,,,,
ASV_83,-0.0762594935455926,-0.07503376251145014,-0.11386108801321358,,,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gyrodinium,
ASV_85,0.12967810481175857,-0.0672539734929175,-0.02005514003740093,Metazoa,Mollusca,Bivalvia,Mytilida,Mytilidae,Musculus,
ASV_87,-0.07254093242062855,-0.10267572433883507,-0.09667457609508309,,,Pelagophyceae,Pelagomonadales,Pelagomonadaceae,Aureococcus,
ASV_89,0.10490663658581652,0.0806270470727824,-0.07765149226441036,Viridiplantae,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae,Bathycoccus,
ASV_93,0.1109033875638175,0.022686481802660374,-0.07309966394294808,,,,,,,
ASV_97,-0.07029165814550131,-0.09947247492933428,-0.09370424032771357,Viridiplantae,Chlorophyta,Pyramimonadophyceae,Pyramimonadales,Pyramimonadaceae,Pyramimonas,
ASV_100,0.11028941737537822,0.013028717311781887,-0.06616336877494546,,,Dinophyceae,Gymnodiniales,,,
ASV_102,-0.0688907782255832,-0.09746011002910988,-0.09186933980401449,,,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Margalefidinium,
ASV_104,-0.0020421142820112375,0.08616806390658498,-0.05776051089124336,Metazoa,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,
ASV_107,0.0002971732357146706,0.0021376901166179265,-0.0020475223597627066,,Bacillariophyta,Coscinodiscophyceae,Melosirales,Melosiraceae,Melosira,
ASV_110,0.09470478131164148,0.011370319783992132,-0.056321594097097055,Metazoa,Arthropoda,,,,,
ASV_120,-0.06439930115848179,-0.09116402292568526,-0.08598540950779486,,,Synurophyceae,Ochromonadales,,,
ASV_121,0.06290094899636406,0.0826550056247854,-0.0900346746096311,,,,,,,
ASV_123,-0.041327878141624315,-0.02288044109220062,-0.13340709844082552,,Ciliophora,Spirotrichea,,,,
ASV_127,0.0008730384996610211,0.002700665423739537,-0.0008070644625981224,Viridiplantae,Chlorophyta,Pyramimonadophyceae,Pyramimonadales,Pyramimonadaceae,Pyramimonas,
ASV_131,0.09700204358220448,0.02543499827730919,-0.06775929447418715,Viridiplantae,Chlorophyta,,,Pycnococcaceae,Pycnococcus,
ASV_134,0.07354800100039391,-0.009593985962923896,-0.09115077057905749,,Picozoa,,,,,
ASV_137,0.11395179563211875,-0.0592847650228856,-0.01756596835204963,,,Dinophyceae,,,,
ASV_138,0.09801514167810421,0.017861849420755308,-0.06301994010264833,,Bacillariophyta,Mediophyceae,Cymatosirales,Cymatosiraceae,Arcocellulus,
ASV_141,0.10650483265891034,0.07471444456804513,-0.048001951654141735,,,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,Plagioselmis,
ASV_143,-0.05928371667707314,-0.10195558372231456,-0.07462604535391322,,,Dinophyceae,Suessiales,Biecheleriaceae,Biecheleria,
ASV_144,0.07684044542198418,0.058104050268443806,-0.0801539836738902,,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Minidiscus,
ASV_148,-0.01370079190270015,0.06163079043134343,-0.11480660906527557,,Ciliophora,Litostomatea,Cyclotrichida,Mesodiniidae,Mesodinium,
ASV_157,-0.059320866750418325,0.03712890580897414,-0.12333269170624432,,,,,,,
ASV_162,-0.007595121960793344,-0.06176758868243958,-0.10494603138985494,,,Cryptophyceae,Pyrenomonadales,Geminigeraceae,Teleaulax,
ASV_164,-0.011804086132616593,-0.0334042422548553,-0.11433255293339971,,,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,
ASV_165,0.05151753885548533,-0.08196861474124063,-0.07847968002553524,,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,
ASV_166,0.016475674176764373,-0.06328704754292881,-0.10042058802634284,,,Dinophyceae,,,,
ASV_175,0.07480635690799882,0.044533208562192936,-0.06961553898234989,Viridiplantae,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,
ASV_182,0.1036125590686955,-0.05379461611748098,-0.016007648520277792,,,Dinophyceae,,,,
ASV_188,-0.05522214208930674,-0.0782442550752121,-0.07374035747234099,,Ciliophora,Spirotrichea,Choreotrichida,,,
ASV_198,0.0759590388530645,0.032260167125457054,-0.0616331874561564,,,Cryptophyceae,Cryptomonadales,,,
ASV_205,-0.05224032061630917,-0.07403697002794231,-0.06980387111925582,,Ciliophora,Spirotrichea,Choreotrichida,,,
ASV_213,0.07152055949219784,0.030983505192366614,-0.05850683991063211,Viridiplantae,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,
ASV_214,0.09525929960269693,-0.049764871009951715,-0.014575451717508476,,,Dinophyceae,,,,
ASV_218,-0.05056253594521041,-0.07171329055144703,-0.06757045288176781,,,Dinophyceae,,,,
ASV_219,0.08728223408557587,-0.016589080889844076,-0.03486695077033088,,Picozoa,,,,,
ASV_220,0.07652390767555181,0.019430449318893372,-0.05314162125833513,,,Dinophyceae,,,,
ASV_221,0.09276309504466031,-0.0406242557551531,-0.019655504832825462,,,,,,,
ASV_224,-0.050568565547671925,-0.07163897132851012,-0.0675608709784595,Viridiplantae,Chlorophyta,Pyramimonadophyceae,Pyramimonadales,Pyramimonadaceae,Pyramimonas,
ASV_234,-0.04821830575459487,-0.06823123815839799,-0.06448673813855928,,Cercozoa,Thecofilosea,Cryomonadida,Protaspidae,Protaspa,
ASV_236,-0.05139119155215553,-0.013807106457244799,-0.09018423007444086,,,,,,,
ASV_237,0.011351479216126087,0.11705331638044456,-0.042496407949064514,,,Pelagophyceae,Pelagomonadales,Pelagomonadaceae,Aureococcus,
ASV_238,0.016476598712045303,0.003481157637096085,-0.08977179618449704,,,,,,Telonemia,
ASV_241,-0.004971756336801303,-0.03145969195327903,-0.08553389114723275,,Ciliophora,Litostomatea,Cyclotrichida,Mesodiniidae,Mesodinium,
ASV_246,0.09063719194210294,-0.05205861302598782,-0.010580266879448448,,,Ichthyosporea,Ichthyophonida,,Pseudoperkinsus,
ASV_248,-0.04782344833863172,-0.06772426909266689,-0.06394149303661058,Viridiplantae,Chlorophyta,Pyramimonadophyceae,Pyramimonadales,Pyramimonadaceae,Pyramimonas,
ASV_251,-0.02175395562987671,0.08144182747894048,-0.07012219059362658,,Ciliophora,Spirotrichea,,Tontoniidae,Pseudotontonia,
ASV_253,-0.04376671053506198,-0.06656754870653386,-0.06252045305183904,,Ciliophora,Spirotrichea,,,,
