,PC1,PC2,PC3,Analyzing_Institute,Collecting_Institute
GLOMICON_AWI_12,-0.2602698715777483,-0.2703054895303336,-0.1635854318680066,NOAA,AWI
GLOMICON_AWI_16,-0.2600631202405427,-0.26063118521956635,-0.12991979893735806,NOAA,AWI
GLOMICON_AWI_20,-0.25697738914328727,-0.24710059142421215,-0.22107066760661107,NOAA,AWI
GLOMICON_AWI_4,-0.23859656058221593,-0.2946546290070523,-0.17553289879972656,NOAA,AWI
GLOMICON_AWI_8,-0.24410117907434883,-0.24564328886850095,-0.08133118130902113,NOAA,AWI
GLOMICON_BloomMock_1,-0.08584355067074964,0.003761692778580075,0.24072492206409968,NOAA,BLOOMMOCK
GLOMICON_BloomMock_10,-0.028528116379630382,0.037843719997083254,0.2068833601822974,NOAA,BLOOMMOCK
GLOMICON_BloomMock_30,-0.04900518776432017,0.014946386379512754,0.16149651489823313,NOAA,BLOOMMOCK
GLOMICON_BloomMock_4,-0.04731529118705299,0.009233855664678813,0.2051717191089858,NOAA,BLOOMMOCK
GLOMICON_BloomMock_6,-0.022792720223223078,0.05218868822884704,0.17830947625968205,NOAA,BLOOMMOCK
GLOMICON_EvenMock_1,-0.017711294021834512,0.06590093424718582,0.2184306377892382,NOAA,EVENMOCK
GLOMICON_EvenMock_4,-0.07920675915404236,0.08099409069359134,0.3065063011268497,NOAA,EVENMOCK
GLOMICON_EvenMock_5,-0.03144651346538419,0.07146594792323221,0.2903901199293269,NOAA,EVENMOCK
GLOMICON_EvenMock_A,-0.009581428100571505,0.057219956657995265,0.17279301410994274,NOAA,EVENMOCK
GLOMICON_EvenMock_B,0.006877216594696158,0.035745055662878326,0.32953214985929835,NOAA,EVENMOCK
GLOMICON_NOC_10,-0.05224954962520767,0.2959282117170731,-0.16189324536480598,NOAA,NOC
GLOMICON_NOC_16,-0.032071881826518434,0.33974715166783315,-0.21267291738083183,NOAA,NOC
GLOMICON_NOC_22,-0.027979606203602406,0.29191083759752495,-0.21476768985117028,NOAA,NOC
GLOMICON_NOC_3,-0.024138287368766335,0.34449807616675426,-0.3061479902139475,NOAA,NOC
GLOMICON_NOC_32,-0.028095549265178498,0.32653294564463353,-0.24222578739487557,NOAA,NOC
GLOMICON_Roscoff_11,0.41225111310281093,-0.16709830039761886,-0.05680423686906898,NOAA,SBR
GLOMICON_Roscoff_15,0.3639984664191224,-0.125381708467971,-0.1005164085580311,NOAA,SBR
GLOMICON_Roscoff_19,0.2534382635270897,-0.05560631017631884,-0.05432245752252331,NOAA,SBR
GLOMICON_Roscoff_3,0.37352355696295386,-0.17196133722399148,-0.11366861541378058,NOAA,SBR
GLOMICON_Roscoff_7,0.3858852392675522,-0.18953471071184483,-0.075778888238207,NOAA,SBR
