#OTUID	GLOMICON_AWI_12	GLOMICON_AWI_16	GLOMICON_AWI_20	GLOMICON_AWI_4	GLOMICON_AWI_8	GLOMICON_NOC_10	GLOMICON_NOC_16	GLOMICON_NOC_22	GLOMICON_NOC_3	GLOMICON_NOC_32	GLOMICON_Roscoff_11	GLOMICON_Roscoff_15	GLOMICON_Roscoff_19	GLOMICON_Roscoff_3	GLOMICON_Roscoff_7
ASV_7	29.0	5.0	16.0	12.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_9	28.0	36.0	46.0	26.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_13	10951.0	11244.0	15241.0	15572.0	8666.0	328.0	474.0	588.0	849.0	480.0	186.0	238.0	139.0	378.0	313.0
ASV_18	176.0	157.0	207.0	232.0	70.0	3347.0	4755.0	4215.0	6709.0	4555.0	5765.0	4343.0	2050.0	5153.0	6053.0
ASV_19	7325.0	7690.0	8.0	18154.0	14251.0	8.0	10.0	11.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_26	7097.0	7117.0	10577.0	7689.0	3252.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_27	600.0	573.0	1067.0	1237.0	526.0	309.0	735.0	529.0	837.0	726.0	927.0	1085.0	426.0	1239.0	1473.0
ASV_34	77.0	63.0	162.0	141.0	71.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_36	0.0	0.0	0.0	0.0	0.0	409.0	628.0	511.0	916.0	575.0	5531.0	4642.0	2108.0	5408.0	6458.0
ASV_40	2782.0	5524.0	570.0	927.0	507.0	2890.0	1026.0	1502.0	5425.0	4806.0	0.0	414.0	298.0	0.0	0.0
ASV_41	1432.0	1508.0	2274.0	1155.0	550.0	580.0	1090.0	895.0	1437.0	999.0	603.0	339.0	209.0	665.0	514.0
ASV_53	0.0	0.0	0.0	0.0	0.0	302.0	2834.0	4264.0	5362.0	4580.0	0.0	0.0	0.0	0.0	0.0
ASV_54	0.0	0.0	0.0	0.0	0.0	811.0	1255.0	1150.0	3786.0	1053.0	2158.0	2046.0	506.0	2372.0	1873.0
ASV_57	2905.0	2765.0	4205.0	2887.0	1635.0	130.0	54.0	32.0	135.0	88.0	24.0	39.0	30.0	86.0	87.0
ASV_60	12.0	7.0	8.0	20.0	11.0	1321.0	2101.0	2028.0	3044.0	1832.0	1145.0	517.0	323.0	842.0	1008.0
ASV_61	2840.0	2241.0	2581.0	3131.0	1885.0	82.0	172.0	180.0	110.0	153.0	184.0	0.0	0.0	149.0	152.0
ASV_63	0.0	0.0	0.0	0.0	0.0	1000.0	1647.0	1577.0	2353.0	1646.0	1459.0	949.0	393.0	1178.0	1432.0
ASV_64	2070.0	2089.0	3264.0	2635.0	1656.0	192.0	424.0	346.0	550.0	296.0	0.0	7.0	7.0	15.0	19.0
ASV_65	0.0	0.0	0.0	0.0	0.0	529.0	905.0	713.0	1113.0	898.0	2585.0	1638.0	785.0	1931.0	2348.0
ASV_75	0.0	0.0	0.0	0.0	0.0	898.0	1250.0	1207.0	1747.0	1349.0	1418.0	1091.0	438.0	1242.0	1251.0
ASV_79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	73.0	64.0	30.0	88.0	113.0
ASV_83	1854.0	1782.0	2378.0	2286.0	1363.0	41.0	47.0	69.0	84.0	61.0	0.0	0.0	0.0	0.0	0.0
ASV_85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2756.0	1648.0	819.0	2222.0	2478.0
ASV_87	2016.0	1796.0	2574.0	2220.0	1190.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_89	8.0	0.0	0.0	9.0	0.0	541.0	973.0	906.0	1457.0	768.0	1273.0	905.0	499.0	926.0	1269.0
ASV_93	0.0	0.0	0.0	0.0	0.0	217.0	286.0	365.0	475.0	316.0	1949.0	1423.0	659.0	1585.0	2034.0
ASV_97	1682.0	1723.0	2403.0	1854.0	1034.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_100	0.0	0.0	0.0	0.0	0.0	167.0	146.0	341.0	449.0	192.0	2312.0	1178.0	551.0	1586.0	1644.0
ASV_102	1483.0	1918.0	2471.0	1767.0	701.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_104	0.0	0.0	0.0	0.0	0.0	3496.0	3913.0	25.0	70.0	391.0	0.0	0.0	207.0	0.0	0.0
ASV_110	0.0	0.0	0.0	0.0	0.0	24.0	2174.0	406.0	25.0	335.0	1301.0	876.0	271.0	1619.0	382.0
ASV_120	702.0	1124.0	2288.0	1848.0	802.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_121	0.0	0.0	0.0	0.0	0.0	692.0	1005.0	910.0	1448.0	988.0	411.0	283.0	144.0	441.0	438.0
ASV_123	1069.0	1138.0	1137.0	1059.0	557.0	145.0	271.0	266.0	415.0	233.0	70.0	79.0	0.0	0.0	177.0
ASV_131	0.0	0.0	0.0	0.0	0.0	127.0	364.0	294.0	403.0	300.0	1326.0	797.0	343.0	875.0	1334.0
ASV_134	128.0	81.0	189.0	163.0	51.0	149.0	233.0	223.0	345.0	232.0	1301.0	774.0	280.0	877.0	967.0
ASV_137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1472.0	839.0	468.0	1321.0	1669.0
ASV_138	0.0	0.0	0.0	0.0	0.0	126.0	272.0	204.0	317.0	244.0	1133.0	932.0	386.0	899.0	1250.0
ASV_141	6.0	8.0	0.0	12.0	9.0	335.0	367.0	458.0	575.0	510.0	934.0	506.0	214.0	764.0	992.0
ASV_143	1011.0	881.0	1318.0	1401.0	929.0	0.0	0.0	0.0	10.0	14.0	0.0	0.0	14.0	0.0	29.0
ASV_144	0.0	0.0	0.0	0.0	0.0	372.0	620.0	578.0	897.0	476.0	605.0	429.0	217.0	702.0	611.0
ASV_148	154.0	138.0	176.0	280.0	109.0	790.0	583.0	711.0	1346.0	679.0	32.0	116.0	36.0	80.0	69.0
ASV_157	279.0	402.0	683.0	511.0	364.0	312.0	422.0	517.0	856.0	517.0	0.0	0.0	0.0	0.0	0.0
ASV_162	655.0	602.0	906.0	791.0	465.0	0.0	95.0	76.0	178.0	124.0	196.0	55.0	58.0	216.0	166.0
ASV_164	425.0	502.0	757.0	874.0	435.0	144.0	135.0	231.0	296.0	96.0	204.0	83.0	42.0	106.0	144.0
ASV_165	258.0	295.0	411.0	356.0	182.0	0.0	0.0	0.0	67.0	168.0	703.0	420.0	254.0	574.0	742.0
ASV_166	527.0	411.0	575.0	547.0	427.0	30.0	100.0	71.0	159.0	107.0	80.0	424.0	137.0	422.0	400.0
ASV_175	0.0	0.0	0.0	0.0	0.0	224.0	362.0	370.0	497.0	390.0	673.0	377.0	188.0	441.0	539.0
ASV_182	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1026.0	787.0	317.0	783.0	1065.0
ASV_188	722.0	716.0	994.0	927.0	459.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_198	0.0	0.0	0.0	0.0	0.0	153.0	330.0	202.0	357.0	248.0	640.0	298.0	201.0	469.0	578.0
ASV_205	597.0	460.0	906.0	816.0	485.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_213	0.0	0.0	0.0	0.0	0.0	87.0	308.0	250.0	354.0	209.0	582.0	242.0	149.0	413.0	476.0
ASV_214	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	843.0	471.0	202.0	752.0	751.0
ASV_218	500.0	583.0	723.0	823.0	356.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_219	0.0	0.0	0.0	0.0	0.0	52.0	97.0	62.0	88.0	54.0	717.0	448.0	216.0	547.0	680.0
ASV_220	0.0	0.0	0.0	0.0	0.0	83.0	206.0	168.0	272.0	155.0	436.0	379.0	173.0	523.0	567.0
ASV_221	0.0	0.0	0.0	0.0	0.0	35.0	37.0	27.0	46.0	24.0	690.0	597.0	265.0	601.0	634.0
ASV_224	597.0	537.0	762.0	580.0	451.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_234	576.0	451.0	889.0	509.0	262.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_236	404.0	392.0	578.0	458.0	277.0	101.0	90.0	90.0	174.0	115.0	0.0	0.0	0.0	0.0	0.0
ASV_237	14.0	15.0	30.0	11.0	11.0	313.0	474.0	455.0	783.0	466.0	35.0	0.0	0.0	0.0	54.0
ASV_238	199.0	139.0	268.0	159.0	94.0	137.0	224.0	218.0	318.0	178.0	208.0	129.0	49.0	157.0	163.0
ASV_241	232.0	324.0	393.0	411.0	191.0	92.0	77.0	100.0	151.0	91.0	229.0	32.0	15.0	127.0	134.0
ASV_246	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	406.0	702.0	190.0	546.0	689.0
ASV_248	494.0	472.0	730.0	478.0	367.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_251	80.0	30.0	149.0	63.0	24.0	245.0	371.0	449.0	795.0	308.0	0.0	0.0	0.0	0.0	0.0
ASV_253	566.0	654.0	583.0	470.0	179.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	26.0	0.0
ASV_256	0.0	0.0	0.0	0.0	0.0	256.0	480.0	285.0	701.0	499.0	95.0	43.0	22.0	58.0	41.0
ASV_260	288.0	336.0	394.0	350.0	233.0	44.0	99.0	120.0	188.0	100.0	45.0	26.0	0.0	91.0	60.0
ASV_262	415.0	325.0	589.0	373.0	198.0	25.0	38.0	35.0	80.0	40.0	71.0	25.0	9.0	58.0	63.0
ASV_265	0.0	0.0	0.0	0.0	0.0	298.0	340.0	393.0	740.0	403.0	15.0	56.0	6.0	27.0	36.0
ASV_266	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	15.0	0.0	689.0	356.0	196.0	441.0	590.0
ASV_268	342.0	738.0	646.0	364.0	180.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_271	404.0	419.0	612.0	468.0	357.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_274	251.0	236.0	376.0	370.0	180.0	49.0	51.0	113.0	97.0	67.0	124.0	66.0	31.0	118.0	98.0
ASV_275	0.0	0.0	0.0	0.0	0.0	196.0	288.0	282.0	519.0	329.0	206.0	63.0	45.0	153.0	141.0
ASV_280	7.0	0.0	0.0	2.0	0.0	135.0	128.0	119.0	219.0	157.0	414.0	230.0	87.0	291.0	342.0
ASV_285	205.0	148.0	360.0	222.0	94.0	45.0	110.0	113.0	103.0	93.0	141.0	78.0	48.0	134.0	174.0
ASV_293	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	533.0	421.0	145.0	385.0	535.0
ASV_297	396.0	366.0	596.0	395.0	221.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_300	0.0	0.0	0.0	0.0	0.0	171.0	274.0	199.0	368.0	294.0	160.0	89.0	82.0	126.0	189.0
ASV_303	0.0	0.0	0.0	0.0	0.0	144.0	355.0	223.0	442.0	203.0	142.0	88.0	29.0	158.0	159.0
ASV_304	0.0	0.0	0.0	0.0	0.0	142.0	200.0	85.0	250.0	170.0	276.0	173.0	113.0	208.0	311.0
ASV_307	376.0	351.0	531.0	438.0	212.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_309	0.0	0.0	0.0	0.0	0.0	79.0	130.0	162.0	287.0	139.0	300.0	186.0	98.0	221.0	301.0
ASV_314	136.0	97.0	125.0	79.0	126.0	94.0	41.0	126.0	187.0	63.0	227.0	190.0	70.0	194.0	104.0
ASV_315	131.0	145.0	170.0	149.0	102.0	104.0	161.0	86.0	220.0	108.0	133.0	42.0	0.0	135.0	153.0
ASV_317	30.0	59.0	99.0	44.0	40.0	140.0	349.0	235.0	492.0	310.0	0.0	0.0	0.0	7.0	5.0
ASV_319	0.0	0.0	0.0	0.0	0.0	224.0	360.0	247.0	510.0	343.0	0.0	0.0	0.0	32.0	52.0
