#OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_6		Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Thalassiosiraceae	Conticribra	
ASV_7		Bacillariophyta	Coscinodiscophyceae	Melosirales	Melosiraceae	Melosira	
ASV_9		Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Pseudo-nitzschia	
ASV_13			Dinophyceae				
ASV_18							
ASV_19	Metazoa	Arthropoda					
ASV_22	Viridiplantae	Chlorophyta	Pyramimonadophyceae	Pyramimonadales	Pyramimonadaceae	Pyramimonas	
ASV_26	Viridiplantae	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas	
ASV_27			Dinophyceae				
ASV_30		Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	
ASV_34			Dinophyceae	Gymnodiniales	Kareniaceae	Karlodinium	
ASV_36							
ASV_40	Metazoa	Arthropoda					
ASV_41		Haptophyta		Phaeocystales	Phaeocystaceae	Phaeocystis	
ASV_45		Haptophyta		Isochrysidales	Isochrysidaceae	Isochrysis	
ASV_48		Bacillariophyta	Coscinodiscophyceae	Chaetocerotales	Chaetocerotaceae	Chaetoceros	
ASV_53	Metazoa	Arthropoda	Hexanauplia	Calanoida	Paracalanidae	Paracalanus	
ASV_54	Metazoa	Chordata	Appendicularia	Copelata	Oikopleuridae	Oikopleura	
ASV_57		Ciliophora	Spirotrichea				
ASV_60	Viridiplantae	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas	
ASV_61			Dinophyceae				
ASV_63							
ASV_64		Ciliophora	Spirotrichea				
ASV_65	Viridiplantae	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	Ostreococcus	
ASV_75							
ASV_79			Dinophyceae	Peridiniales	Heterocapsaceae	Heterocapsa	
ASV_81		Haptophyta					
ASV_83			Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gyrodinium	
ASV_85	Metazoa	Mollusca	Bivalvia	Mytilida	Mytilidae	Musculus	
ASV_87			Pelagophyceae	Pelagomonadales	Pelagomonadaceae	Aureococcus	
ASV_89	Viridiplantae	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	Bathycoccus	
ASV_93							
ASV_97	Viridiplantae	Chlorophyta	Pyramimonadophyceae	Pyramimonadales	Pyramimonadaceae	Pyramimonas	
ASV_100			Dinophyceae	Gymnodiniales			
ASV_102			Dinophyceae	Gymnodiniales	Gymnodiniaceae	Margalefidinium	
ASV_104	Metazoa	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	
ASV_107		Bacillariophyta	Coscinodiscophyceae	Melosirales	Melosiraceae	Melosira	
ASV_110	Metazoa	Arthropoda					
ASV_120			Synurophyceae	Ochromonadales			
ASV_121							
ASV_123		Ciliophora	Spirotrichea				
ASV_127	Viridiplantae	Chlorophyta	Pyramimonadophyceae	Pyramimonadales	Pyramimonadaceae	Pyramimonas	
ASV_131	Viridiplantae	Chlorophyta			Pycnococcaceae	Pycnococcus	
ASV_134		Picozoa					
ASV_137			Dinophyceae				
ASV_138		Bacillariophyta	Mediophyceae	Cymatosirales	Cymatosiraceae	Arcocellulus	
ASV_141			Cryptophyceae	Cryptomonadales	Cryptomonadaceae	Plagioselmis	
ASV_143			Dinophyceae	Suessiales	Biecheleriaceae	Biecheleria	
ASV_144		Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Thalassiosiraceae	Minidiscus	
ASV_148		Ciliophora	Litostomatea	Cyclotrichida	Mesodiniidae	Mesodinium	
ASV_157							
ASV_162			Cryptophyceae	Pyrenomonadales	Geminigeraceae	Teleaulax	
ASV_164			Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gymnodinium	
ASV_165		Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	
ASV_166			Dinophyceae				
ASV_175	Viridiplantae	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas	
ASV_182			Dinophyceae				
ASV_188		Ciliophora	Spirotrichea	Choreotrichida			
ASV_198			Cryptophyceae	Cryptomonadales			
ASV_205		Ciliophora	Spirotrichea	Choreotrichida			
ASV_213	Viridiplantae	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas	
ASV_214			Dinophyceae				
ASV_218			Dinophyceae				
ASV_219		Picozoa					
ASV_220			Dinophyceae				
ASV_221							
ASV_224	Viridiplantae	Chlorophyta	Pyramimonadophyceae	Pyramimonadales	Pyramimonadaceae	Pyramimonas	
ASV_234		Cercozoa	Thecofilosea	Cryomonadida	Protaspidae	Protaspa	
ASV_236							
ASV_237			Pelagophyceae	Pelagomonadales	Pelagomonadaceae	Aureococcus	
ASV_238						Telonemia	
ASV_241		Ciliophora	Litostomatea	Cyclotrichida	Mesodiniidae	Mesodinium	
ASV_246			Ichthyosporea	Ichthyophonida		Pseudoperkinsus	
ASV_248	Viridiplantae	Chlorophyta	Pyramimonadophyceae	Pyramimonadales	Pyramimonadaceae	Pyramimonas	
ASV_251		Ciliophora	Spirotrichea		Tontoniidae	Pseudotontonia	
ASV_253		Ciliophora	Spirotrichea				
ASV_256			Pelagophyceae	Pelagomonadales	Pelagomonadaceae		
ASV_260	Metazoa	Arthropoda	Insecta	Hymenoptera	Crabronidae		
ASV_262		Cercozoa	Chlorarachniophyceae				
ASV_265			Dinophyceae				
ASV_266							
ASV_268		Ciliophora	Spirotrichea		Strombidiidae		
ASV_271							
ASV_274			Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gyrodinium	
ASV_275	Metazoa	Arthropoda	Insecta	Hymenoptera	Crabronidae		
ASV_280			Cryptophyceae	Pyrenomonadales	Geminigeraceae	Geminigera	
ASV_283			Dinophyceae	Gonyaulacales	Pyrocystaceae	Alexandrium	
ASV_285			Choanoflagellata	Acanthoecida	Stephanoecidae		
ASV_293							
ASV_297			Dinophyceae				
ASV_300							
ASV_303			Dinophyceae				
ASV_304		Haptophyta		Prymnesiales	Chrysochromulinaceae	Chrysochromulina	
ASV_307							
ASV_309	Metazoa	Arthropoda	Insecta	Hymenoptera	Crabronidae		
ASV_314			Dinophyceae				
ASV_315			Dinophyceae				
ASV_317		Haptophyta		Prymnesiales	Chrysochromulinaceae	Chrysochromulina	
ASV_319	Viridiplantae	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas	
ASV_322			Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gyrodinium	
ASV_324		Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	
ASV_328							
ASV_330		Haptophyta					
ASV_332	Metazoa	Arthropoda	Insecta	Hymenoptera	Crabronidae		
ASV_334	Metazoa	Echinodermata					
ASV_335			Cryptophyceae	Pyrenomonadales	Geminigeraceae	Teleaulax	
ASV_340						Telonemia	
ASV_345	Metazoa	Arthropoda	Hexanauplia	Calanoida	Paracalanidae	Paracalanus	
ASV_352		Haptophyta		Prymnesiales	Chrysochromulinaceae	Chrysochromulina	
ASV_357			Dinophyceae	Gymnodiniales			
ASV_358			Bigyra	Nanomonadea			
ASV_359		Ciliophora	Spirotrichea	Choreotrichida	Strobilidiidae		
ASV_361							
ASV_364			Dinophyceae	Gymnodiniales			
ASV_365			Bigyra	Nanomonadea			
ASV_367	Metazoa	Arthropoda					
ASV_369	Metazoa	Arthropoda	Insecta	Hymenoptera	Crabronidae		
ASV_372			Dinophyceae				
ASV_376			Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gyrodinium	
ASV_378		Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	
ASV_381		Cercozoa					
ASV_382							
ASV_386			Dinophyceae				
ASV_387			Phaeophyceae	Laminariales	Agaraceae	Costaria	
ASV_389		Ciliophora	Spirotrichea	Choreotrichida			
ASV_396							
ASV_401		Haptophyta					
ASV_402		Cercozoa	Thecofilosea	Cryomonadida	Protaspidae	Protaspa	
ASV_406			Dinophyceae	Gymnodiniales	Kareniaceae	Karlodinium	
ASV_408	Metazoa	Cnidaria					
ASV_410			Dinophyceae				
ASV_419		Haptophyta		Prymnesiales	Chrysochromulinaceae	Chrysochromulina	
ASV_421		Cercozoa	Thecofilosea	Cryomonadida	Protaspidae	Cryothecomonas	
ASV_423			Dinophyceae				
ASV_424		Bacillariophyta	Coscinodiscophyceae	Thalassiosirales			
ASV_426			Dinophyceae				
ASV_427		Bacillariophyta	Coscinodiscophyceae	Chaetocerotales	Chaetocerotaceae	Chaetoceros	
ASV_428			Dinophyceae				
ASV_430			Dinophyceae				
ASV_431		Bacillariophyta	Mediophyceae	Cymatosirales			
ASV_444			Dinophyceae				
ASV_446		Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Fragilariopsis	
ASV_447		Ciliophora	Spirotrichea		Strombidiidae		
ASV_448		Ciliophora	Spirotrichea				
ASV_449		Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	
ASV_450			Dinophyceae				
ASV_452		Cercozoa					
ASV_453		Ciliophora	Spirotrichea				
ASV_454		Bacillariophyta	Coscinodiscophyceae	Thalassiosirales			
ASV_455							
ASV_460		Cercozoa	Thecofilosea	Cryomonadida	Protaspidae	Cryothecomonas	
ASV_469			Dictyochophyceae				
ASV_470		Haptophyta		Isochrysidales	Noelaerhabdaceae	Emiliania	
ASV_471			Cryptophyceae				
ASV_473	Viridiplantae	Chlorophyta	Trebouxiophyceae			Picochlorum	
ASV_478		Apicomplexa	Conoidasida	Eugregarinorida	Porosporidae		
ASV_479	Metazoa	Arthropoda	Insecta	Hymenoptera	Crabronidae		
ASV_484			Dinophyceae				
ASV_485			Dinophyceae				
ASV_487							
ASV_488						Telonemia	
ASV_490			Dinophyceae	Gymnodiniales	Gymnodiniaceae	Lepidodinium	
