#OTUID	cj-DAL03	cj-DAL09	cj-DAL15	cj-DAL21	cj-DAL27	cj-MBA03	cj-MBA07	cj-MBA12	cj-MBA16	cj-MBA20	cj-NOAA07	cj-NOAA13	cj-NOAA18	cj-NOAA24	cj-NOAA30	cj-ROS01	cj-ROS05	cj-ROS09	cj-ROS13	cj-ROS17	cj-SOC05	cj-SOC12	cj-SOC18	cj-SOC24	cj-SOC28
ASV_17	188.0	104.0	61.0	129.0	152.0	3.0	9.0	0.0	10.0	14.0	12.0	10.0	8.0	5.0	0.0	4.0	4.0	4.0	0.0	6.0	12.0	24.0	18.0	12.0	37.0
ASV_28	26.0	20.0	41.0	24.0	36.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	63.0	54.0	10.0	7.0	8.0	32.0	13.0	7.0	6.0	0.0	4.0	4.0
ASV_33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	3596.0	17102.0	3263.0	8030.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0
ASV_96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	3.0	2459.0	39.0	4953.0	1456.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_99	5.0	7.0	9.0	3.0	4.0	8.0	7.0	7.0	5.0	13.0	9.0	8.0	4.0	14.0	1.0	8.0	1.0	5.0	0.0	16.0	0.0	4.0	0.0	2.0	4.0
ASV_101	1050.0	538.0	680.0	612.0	843.0	0.0	4.0	5.0	0.0	8.0	125.0	60.0	86.0	65.0	79.0	15.0	49.0	49.0	120.0	92.0	20.0	28.0	21.0	9.0	36.0
ASV_112	0.0	3.0	0.0	8.0	0.0	190.0	383.0	175.0	164.0	200.0	206.0	112.0	75.0	96.0	91.0	525.0	283.0	492.0	618.0	439.0	727.0	666.0	562.0	669.0	543.0
ASV_116	7.0	10.0	11.0	7.0	10.0	4.0	9.0	8.0	4.0	10.0	24.0	3.0	0.0	6.0	5.0	1.0	0.0	0.0	8.0	12.0	0.0	5.0	4.0	1.0	4.0
ASV_119	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1755.0	1798.0	1292.0	1197.0	866.0	0.0	0.0	0.0	0.0	0.0
ASV_122	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4515.0	1073.0	306.0	254.0	503.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_130	787.0	1172.0	629.0	1429.0	1137.0	0.0	0.0	0.0	0.0	0.0	142.0	100.0	123.0	95.0	118.0	137.0	85.0	70.0	74.0	28.0	18.0	20.0	18.0	25.0	19.0
ASV_140	8.0	4.0	10.0	4.0	4.0	6.0	7.0	4.0	8.0	7.0	8.0	7.0	5.0	6.0	2.0	8.0	0.0	8.0	0.0	12.0	0.0	0.0	9.0	4.0	0.0
ASV_142	0.0	0.0	0.0	0.0	0.0	23.0	41.0	155.0	16.0	18.0	16.0	4.0	6.0	13.0	21.0	229.0	403.0	249.0	232.0	104.0	733.0	769.0	1131.0	771.0	697.0
ASV_153	5.0	6.0	6.0	5.0	1.0	2.0	3.0	5.0	6.0	11.0	15.0	0.0	3.0	0.0	0.0	3.0	0.0	8.0	3.0	0.0	3.0	4.0	2.0	3.0	0.0
ASV_155	1.0	0.0	343.0	4.0	448.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	332.0	0.0	3.0	2.0	0.0	345.0	0.0	0.0	3431.0	0.0
ASV_170	19.0	8.0	16.0	5.0	9.0	7.0	0.0	6.0	11.0	9.0	24.0	17.0	3.0	19.0	7.0	7.0	0.0	6.0	0.0	2.0	6.0	2.0	6.0	0.0	0.0
ASV_173	0.0	0.0	0.0	0.0	0.0	690.0	442.0	551.0	890.0	1499.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_176	129.0	221.0	80.0	252.0	215.0	0.0	0.0	0.0	0.0	6.0	18.0	20.0	35.0	24.0	44.0	423.0	263.0	224.0	209.0	149.0	378.0	374.0	323.0	314.0	352.0
ASV_181	36.0	16.0	26.0	18.0	25.0	4.0	6.0	4.0	4.0	5.0	11.0	0.0	1.0	5.0	0.0	0.0	6.0	3.0	3.0	5.0	0.0	2.0	3.0	2.0	2.0
ASV_186	8.0	3.0	0.0	3.0	1.0	6.0	0.0	5.0	4.0	0.0	15.0	0.0	1.0	0.0	2.0	3.0	2.0	0.0	4.0	3.0	1.0	1.0	3.0	1.0	2.0
ASV_192	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	158.0	988.0	704.0	806.0	1023.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_204	143.0	54.0	49.0	66.0	109.0	4.0	2.0	0.0	0.0	0.0	41.0	42.0	38.0	28.0	52.0	29.0	61.0	35.0	39.0	19.0	548.0	541.0	527.0	376.0	467.0
ASV_209	1.0	10.0	6.0	0.0	4.0	4.0	13.0	6.0	0.0	3.0	55.0	62.0	66.0	42.0	52.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_495	96.0	75.0	40.0	88.0	121.0	0.0	0.0	0.0	0.0	0.0	60.0	10.0	26.0	16.0	45.0	122.0	83.0	74.0	70.0	49.0	3.0	2.0	11.0	3.0	3.0
ASV_496	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	163.0	133.0	321.0	111.0	259.0
ASV_500	231.0	181.0	112.0	221.0	233.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_506	4.0	0.0	0.0	0.0	0.0	6.0	1.0	0.0	1.0	2.0	113.0	56.0	44.0	58.0	83.0	68.0	23.0	57.0	30.0	34.0	91.0	78.0	52.0	95.0	73.0
ASV_527	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	176.0	14.0	499.0	219.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_535	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	236.0	236.0	93.0	159.0	155.0
ASV_536	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	399.0	0.0	479.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_537	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	330.0	68.0	335.0	13.0	127.0
ASV_546	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.0	697.0	50.0	48.0	18.0	0.0	0.0	0.0	0.0	0.0
ASV_548	0.0	0.0	0.0	0.0	0.0	119.0	213.0	178.0	159.0	183.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_550	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	135.0	109.0	141.0	197.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_552	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_557	150.0	161.0	102.0	193.0	224.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_560	39.0	38.0	37.0	44.0	63.0	0.0	0.0	1.0	0.0	0.0	18.0	11.0	17.0	13.0	12.0	205.0	77.0	80.0	99.0	50.0	4.0	5.0	10.0	3.0	2.0
ASV_565	0.0	0.0	0.0	0.0	0.0	120.0	78.0	130.0	185.0	299.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_570	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	192.0	80.0	167.0	141.0	225.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_581	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	220.0	200.0	187.0	100.0	81.0	0.0	0.0	0.0	0.0	0.0
ASV_584	0.0	0.0	0.0	0.0	0.0	138.0	81.0	97.0	174.0	295.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_591	12.0	14.0	4.0	6.0	10.0	0.0	0.0	0.0	0.0	0.0	7.0	9.0	17.0	10.0	9.0	85.0	68.0	73.0	68.0	51.0	89.0	72.0	85.0	35.0	48.0
ASV_592	0.0	0.0	3.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	161.0	176.0	148.0	177.0	100.0	0.0	0.0	0.0	0.0	0.0
ASV_596	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.0	160.0	187.0	176.0	95.0	0.0	0.0	0.0	0.0	0.0
ASV_609	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	196.0	115.0	170.0	106.0	153.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_614	4.0	67.0	588.0	68.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_616	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	197.0	157.0	149.0	110.0	96.0	2.0	7.0	8.0	7.0	0.0
