,cj-DAL03,cj-DAL09,cj-DAL15,cj-DAL21,cj-DAL27,cj-MBA03,cj-MBA07,cj-MBA12,cj-MBA16,cj-MBA20,cj-NOAA07,cj-NOAA13,cj-NOAA18,cj-NOAA24,cj-NOAA30,cj-ROS01,cj-ROS05,cj-ROS09,cj-ROS13,cj-ROS17,cj-SOC05,cj-SOC12,cj-SOC18,cj-SOC24,cj-SOC28
cj-DAL03,0.0,0.2576578706009596,0.47839390090694406,0.5762360132205272,0.23371035387450664,2.922665642472668,3.062676404685675,2.958917075522166,2.569674757397133,2.7950523888281844,2.291384968250478,2.4705946226973072,2.397592680212775,2.390409638344882,2.6271464297618103,3.0618880572901666,3.0007553060969836,3.011131858852338,2.910567423386353,2.8824911331990144,1.7771262864625463,1.59762903565966,1.5247266991765231,1.6038310998016125,1.6166487899129522
cj-DAL09,0.2576578706009596,0.0,0.22405943358693742,0.3311843171532232,0.11501234980906493,2.765269091330173,2.882369415597585,2.7926160142764536,2.382411742512735,2.621774198225467,2.4146840093770137,2.5968959112573806,2.5165714228084584,2.5112379586988958,2.744517137049962,2.967740690615211,2.9047461944293547,2.9241569523907343,2.8244429404962954,2.8038672093033234,1.5789283147567326,1.3908065713532496,1.3646504180758956,1.4015705934945415,1.4089610794159333
cj-DAL15,0.47839390090694406,0.22405943358693742,0.0,0.18674927869097324,0.29582008080534183,2.6024648703528483,2.7014418490771974,2.623325680283186,2.19961998974788,2.4466087374050836,2.497044535590143,2.679139670938404,2.5932204651885704,2.589364067748807,2.8189511948717345,2.8625524802235596,2.7979094002025624,2.82489207049945,2.7272440967012552,2.7117824971297946,1.409943989348939,1.2208100307779823,1.2360452116566558,1.2293195801093135,1.237374169766154
cj-DAL21,0.5762360132205272,0.3311843171532232,0.18674927869097324,0.0,0.3535953311737753,2.6260789110408047,2.709447578459674,2.636000343067708,2.191047545645047,2.4646796503934865,2.59286359946478,2.7850135072381637,2.695970772605874,2.6937804010769364,2.9158220492849454,2.872325154777521,2.809436970176008,2.8395903554978466,2.7384630054140744,2.733460273034295,1.3173813562802812,1.1099667309693604,1.1529674762279356,1.1415443827326595,1.12802973381935
cj-DAL27,0.23371035387450664,0.11501234980906493,0.29582008080534183,0.3535953311737753,0.0,2.7916012169570794,2.913237843967407,2.817343901237801,2.405793090898814,2.653754116286051,2.3744790732245966,2.5634877919832335,2.4825546194793398,2.4779621327667494,2.7071051145471,2.9528217167969912,2.891549308651058,2.9086449853719745,2.806199752552974,2.788277778426157,1.5659754098023322,1.3769957426890884,1.3309591081084025,1.3926719450583123,1.3962783916341162
cj-MBA03,2.922665642472668,2.765269091330173,2.6024648703528483,2.6260789110408047,2.7916012169570794,0.0,0.3660612214026428,0.16222975058186645,0.6105445686145271,0.26777422115560073,2.886926359103919,2.9832419325186383,2.879020427934148,2.892547596384487,2.9780562872642125,1.1171852896800682,1.0586657745362984,1.1513037461039404,1.1742762210792623,1.1730651382447672,1.7422580604616318,1.9496276120472549,1.8847181716505421,1.791013177852351,1.931396122796315
cj-MBA07,3.062676404685675,2.882369415597585,2.7014418490771974,2.709447578459674,2.913237843967407,0.3660612214026428,0.0,0.24991472502837075,0.5613879674479538,0.2926452243345584,3.2206321972046092,3.32587302785402,3.219903017266086,3.2331319799069185,3.3253759020368316,1.3834453224938112,1.3322926718405907,1.4351759393429566,1.4540489732305586,1.478586087633462,1.7541328520674442,1.9614907229570093,1.96696214388876,1.8188792664975624,1.9406978179841727
cj-MBA12,2.958917075522166,2.7926160142764536,2.623325680283186,2.636000343067708,2.817343901237801,0.16222975058186645,0.24991472502837075,0.0,0.5271214725119526,0.2457160162187479,2.9932922390852106,3.0985538142818667,2.992193531230261,3.006355012238067,3.0913176832098093,1.1497894884081516,1.0951448223815767,1.195670596894627,1.2135339620933456,1.2322607346013084,1.6888523996445253,1.9030527796103702,1.8586945934147294,1.7509160964717159,1.8836964673916015
cj-MBA16,2.569674757397133,2.382411742512735,2.19961998974788,2.191047545645047,2.405793090898814,0.6105445686145271,0.5613879674479538,0.5271214725119526,0.0,0.42247233702362763,2.948380994194003,3.0861511201428438,2.974150356204378,2.987028569563021,3.1007726003378893,1.3540663283766137,1.2925725366959888,1.391414936672143,1.3611877986347847,1.3996877627507298,1.1948867155557419,1.4017627068573455,1.4135577826597656,1.2580306149607174,1.3812547295890887
cj-MBA20,2.7950523888281844,2.621774198225467,2.4466087374050836,2.4646796503934865,2.653754116286051,0.26777422115560073,0.2926452243345584,0.2457160162187479,0.42247233702362763,0.0,2.969583978338188,3.0765233886024883,2.970599913567258,2.9825810737074963,3.0873551163994777,1.3165940676360295,1.2545484328782766,1.3498668844175232,1.3542704383178614,1.361223907881823,1.5886200545650453,1.7850031300965168,1.7680033657642036,1.6318403582589884,1.7657781611817618
