,PC1,PC2,PC3,Analyzing_Institute,Collecting_Institute
cj-BMk13,-0.0031971111854655274,0.28112629193518945,0.00460688908288046,SBR,BLOOMMOCK
cj-BMk15,0.000365552748022413,0.2827367743536014,-0.009538964093435187,SBR,BLOOMMOCK
cj-BMk17,0.004076953041660281,0.2804992296153345,-0.012681609080449796,SBR,BLOOMMOCK
cj-BMk21,0.007901300061248843,0.2619626059624999,-0.020092616910357367,SBR,BLOOMMOCK
cj-BMk25,-0.02788323574406039,0.20316355028791042,-0.13048907260187428,SBR,BLOOMMOCK
cj-DAL03,0.12305502411621962,-0.11575562351292928,-0.21016640396216402,SBR,UDalhousie
cj-DAL09,0.22237949584868386,-0.10258418127817216,-0.08754048244626805,SBR,UDalhousie
cj-DAL15,0.20090094128455757,-0.10670515112463738,-0.12885540826775055,SBR,UDalhousie
cj-DAL21,0.28820801724049183,-0.12219393159099229,-0.10643924169397218,SBR,UDalhousie
cj-DAL27,0.08293575908163597,-0.15771873609126777,-0.2503132400840699,SBR,UDalhousie
cj-EMk03,0.029773781377677944,0.25668057635119257,-0.05980486534417568,SBR,EVENMOCK
cj-EMk08,0.03828577273428602,0.25103236073541224,-0.07985758499643794,SBR,EVENMOCK
cj-EMk09,0.03870529576926206,0.2595034528034081,-0.08770962074810197,SBR,EVENMOCK
cj-EMk15,0.02899972331798031,0.2747825411621846,0.024266453059140228,SBR,EVENMOCK
cj-EMk17,0.029837244785398297,0.2092601195860485,-0.23498835316268865,SBR,EVENMOCK
cj-MBA03,-0.21693559503155047,-0.025817698826255675,0.30593080975351733,SBR,MBARI
cj-MBA07,-0.28367360851523693,-0.007191249289897794,0.275198518300241,SBR,MBARI
cj-MBA12,-0.2416016547656942,-0.037144434217925765,0.21225617304197922,SBR,MBARI
cj-MBA16,-0.23926548823548735,-0.03902178270211796,0.17695836572249457,SBR,MBARI
cj-MBA20,-0.2341595808337265,0.00507285959813619,0.20960069280461893,SBR,MBARI
cj-NOAA07,0.20875359923318884,-0.06257159324712189,0.10086619462863755,SBR,NOAA
cj-NOAA13,0.26196241133378056,-0.07041936236778955,0.2867989395961252,SBR,NOAA
cj-NOAA18,0.2380766679809849,-0.08195595600410001,0.3389110590724665,SBR,NOAA
cj-NOAA24,0.24333528056009063,-0.059550967521344964,0.24475180352038134,SBR,NOAA
cj-NOAA30,0.2573319642124588,-0.08648921960848574,0.28404634857307914,SBR,NOAA
cj-ROS01,-0.20260333806735575,-0.14072205183867836,-0.06767459131193714,SBR,SBR
cj-ROS05,-0.2126111912181365,-0.12762029676883435,-0.0475796223651289,SBR,SBR
cj-ROS09,-0.20415027350045634,-0.12198409226688897,-0.08993853584020722,SBR,SBR
cj-ROS13,-0.1903667617748708,-0.11532507854399995,-0.17480734297173478,SBR,SBR
cj-ROS17,-0.18269475329957213,-0.09702055971738492,-0.12321052868145985,SBR,SBR
cj-SOC05,-0.01329285831805524,-0.18590259575386345,-0.09463568976852092,SBR,NOC
cj-SOC12,0.039121141944643126,-0.18099928662504777,-0.1112649228884529,SBR,NOC
cj-SOC18,-0.05629953208667011,-0.17276385807007785,-0.15688653231131075,SBR,NOC
cj-SOC24,0.023057173060446006,-0.17360662808863378,-0.03441975201015487,SBR,NOC
cj-SOC28,-0.05832811715637797,-0.17475602733447196,-0.1452972656149087,SBR,NOC
