#SampleID	Analyzing_Institute	Collecting_Institute
G8r-AWI19	UDAL	AWI
G19r-AWI7	UDAL	AWI
G12r-NOC23	UDAL	NOC
E-G2-NOAA29	UDAL	NOAA
G22r-DAL24	UDAL	UDalhousie
E-G16-NOC11	UDAL	NOC
E-G27-eMock2-2	UDAL	EVENMOCK
G4r-ROS16	UDAL	SBR
G7r-NOC20	UDAL	NOC
E-G14-ROS20	UDAL	SBR
E-G13-NOAA23	UDAL	NOAA
G5r-NOC4	UDAL	NOC
G10r-ROS4	UDAL	SBR
G26r-NOAA5	UDAL	NOAA
G24r-AWI15	UDAL	AWI
G18r-NOAA6	UDAL	NOAA
G21r-NOC33	UDAL	NOC
E-G3-DAL6	UDAL	UDalhousie
G9r-NOAA17	UDAL	NOAA
E-G28-eMock2-7	UDAL	EVENMOCK
G23r-NOAA12	UDAL	NOAA
G17r-DAL12	UDAL	UDalhousie
G25r-ROS8	UDAL	SBR
E-G36-bMock27	UDAL	BLOOMMOCK
E-G6-DAL18	UDAL	UDalhousie
E-G15-AWI3	UDAL	AWI
E-G30-eMockB-18	UDAL	EVENMOCK
E-G29-eMockA-11	UDAL	EVENMOCK
E-G32-bMock2	UDAL	BLOOMMOCK
G11r-DAL30	UDAL	UDalhousie
E-G35-bMock22	UDAL	BLOOMMOCK
G20r-ROS12	UDAL	SBR
E-G31-eMockB-20	UDAL	EVENMOCK
E-G34-bMock20	UDAL	BLOOMMOCK
E-G1-AWI11	UDAL	AWI
E-G33-bMock9	UDAL	BLOOMMOCK
