#OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_1		Haptophyta		Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis pouchetii
ASV_14			Dinophyceae				
ASV_37			Dinophyceae				
ASV_49		Haptophyta		Prymnesiales	Prymnesiaceae	Prymnesium	Prymnesium parvum
ASV_50			Dinophyceae				
ASV_59	Viridiplantae	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas	
ASV_62			Dinophyceae				
ASV_66			Dinophyceae				
ASV_84		Haptophyta		Isochrysidales	Noelaerhabdaceae	Emiliania	Emiliania huxleyi
ASV_86		Haptophyta		Isochrysidales	Isochrysidaceae	Isochrysis	Isochrysis galbana
ASV_91	Metazoa	Mollusca	Gastropoda				
ASV_95	Metazoa	Chordata	Appendicularia	Copelata	Oikopleuridae	Oikopleura	
ASV_109	Metazoa	Arthropoda	Hexanauplia	Cyclopoida			
ASV_111		Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Thalassiosiraceae	Conticribra	Conticribra weissflogii
ASV_114	Viridiplantae	Chlorophyta	Pyramimonadophyceae	Pyramimonadales	Pyramimonadaceae	Pyramimonas	Pyramimonas parkeae
ASV_124		Bacillariophyta	Coscinodiscophyceae	Chaetocerotales	Chaetocerotaceae	Chaetoceros	
ASV_125		Haptophyta		Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis globosa
ASV_126		Bacillariophyta	Coscinodiscophyceae	Melosirales	Melosiraceae	Melosira	
ASV_129			Dinophyceae				
ASV_132		Ciliophora					
ASV_135	Metazoa	Mollusca	Bivalvia	Mytilida	Mytilidae	Mytilus	Mytilus edulis
ASV_145							metagenome
ASV_151			Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gymnodinium	
ASV_152	Viridiplantae	Chlorophyta	Mamiellophyceae	Mamiellales			
ASV_156			Dinophyceae	Gonyaulacales			
ASV_167			Dinophyceae	Gonyaulacales			
ASV_168		Haptophyta		Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis globosa
ASV_172			Dinophyceae	Gonyaulacales			
ASV_174		Bacillariophyta	Mediophyceae				
ASV_179			Dinophyceae				
ASV_180	Viridiplantae	Chlorophyta	Mamiellophyceae				
ASV_183	Metazoa	Mollusca	Bivalvia	Mytilida	Mytilidae	Musculus	Musculus discors
ASV_201	Metazoa	Annelida	Polychaeta		Capitellidae	Capitella	
ASV_202			Dinophyceae	Suessiales	Biecheleriaceae	Biecheleria	
ASV_207		Bacillariophyta	Fragilariophyceae	Fragilariales	Staurosiraceae	Plagiostriata	Plagiostriata goreensis
ASV_208	Viridiplantae	Chlorophyta					
ASV_215			Cryptophyceae	Cryptomonadales			
ASV_229			Dinophyceae				
ASV_232			Dinophyceae				
ASV_243	Viridiplantae	Chlorophyta	Mamiellophyceae	Mamiellales			
ASV_249	Viridiplantae	Chlorophyta	Pyramimonadophyceae	Pyramimonadales	Pyramimonadaceae	Pyramimonas	Pyramimonas australis
ASV_252			Cryptophyceae	Cryptomonadales			
ASV_259			Dinophyceae				
