,PC1,PC2,PC3,Analyzing_Institute,Collecting_Institute
G8r-AWI19,-0.1447484531826646,-0.11479353140959031,-0.2388300469685652,UDAL,AWI
G19r-AWI7,-0.1907545274309319,-0.15056654252921636,-0.2662449911419561,UDAL,AWI
G12r-NOC23,0.08321158705660558,0.12703000739163528,-0.2107728961460258,UDAL,NOC
E-G2-NOAA29,0.1209888374620704,0.033134900644650855,0.07260800719380076,UDAL,NOAA
G22r-DAL24,0.08605137399620905,-0.3444726961619145,0.13113531226590136,UDAL,UDalhousie
E-G16-NOC11,0.12723033577548207,0.07561277074765384,-0.0814390661986572,UDAL,NOC
E-G27-eMock2-2,-0.15435856215620394,0.1410062459382007,0.03696084474074341,UDAL,EVENMOCK
G4r-ROS16,0.23328582810555373,0.17349742812978333,0.08434211880511736,UDAL,SBR
G7r-NOC20,0.2051596500018975,0.09720812257416682,-0.058151947742961986,UDAL,NOC
E-G14-ROS20,0.16045322191515532,0.10473896721855845,0.15020761270225177,UDAL,SBR
E-G13-NOAA23,0.1039110096703359,0.03841925949714728,0.06614660438698042,UDAL,NOAA
G5r-NOC4,0.11007772080266637,0.10173305698960514,-0.2541665276964632,UDAL,NOC
G10r-ROS4,0.2808455793642435,0.14914816180074253,0.12355168130884633,UDAL,SBR
G26r-NOAA5,0.031903933064170435,0.01678646267703644,-0.22789671642351483,UDAL,NOAA
G24r-AWI15,-0.23915856726321083,-0.15556943681558466,-0.22299151486601473,UDAL,AWI
G18r-NOAA6,0.06852186760159867,0.04217430475840825,-0.2627279514776889,UDAL,NOAA
G21r-NOC33,0.12895398213160197,0.0882851239069702,-0.2553461795101742,UDAL,NOC
E-G3-DAL6,0.05068198582931125,-0.26682370747206774,0.21308283080156631,UDAL,UDalhousie
G9r-NOAA17,0.02626705075551339,0.05162744496709953,0.23868784330896853,UDAL,NOAA
E-G28-eMock2-7,-0.17057303191971293,0.13053494698704524,0.055030636199546165,UDAL,EVENMOCK
G23r-NOAA12,0.13384718061479536,-0.032693694233678745,-0.1213869264351383,UDAL,NOAA
G17r-DAL12,0.08341587352905373,-0.3545676680478757,0.1504467776285559,UDAL,UDalhousie
G25r-ROS8,0.23529029508958835,0.14757687264805922,0.03966077256289255,UDAL,SBR
E-G36-bMock27,-0.19859510951641446,0.058409055060042854,0.07028546084014936,UDAL,BLOOMMOCK
E-G6-DAL18,0.09832749836251345,-0.3289851854188019,0.2451249947599446,UDAL,UDalhousie
E-G15-AWI3,0.1004128801345325,-0.2717880983278793,-0.19761231297238735,UDAL,AWI
E-G30-eMockB-18,-0.24735030669248362,0.1671204212642718,0.29234679478274384,UDAL,EVENMOCK
E-G29-eMockA-11,-0.16807042322472202,0.1443672016797991,0.048658294512190205,UDAL,EVENMOCK
E-G32-bMock2,-0.20541379561490855,0.05739222676783951,0.10358454783814013,UDAL,BLOOMMOCK
G11r-DAL30,0.04290279104970593,-0.3394943827603799,0.1171966662351313,UDAL,UDalhousie
E-G35-bMock22,-0.21555666623498096,0.06812786789789878,0.12179136874522754,UDAL,BLOOMMOCK
G20r-ROS12,0.23077976306324702,0.16934546439243983,0.034219044376574116,UDAL,SBR
E-G31-eMockB-20,-0.16541063751617321,0.16319250107439975,0.05445185391389416,UDAL,EVENMOCK
E-G34-bMock20,-0.2201666193527883,0.07378130821545738,0.07976153986140376,UDAL,BLOOMMOCK
E-G1-AWI11,-0.20429574357235672,-0.14089191430524287,-0.2228055002655045,UDAL,AWI
E-G33-bMock9,-0.21806780169829845,0.08039673425331952,0.0910909700744829,UDAL,BLOOMMOCK
