sample_name,Analyzing_Institute,Collecting_Institute,site,replicate
GLOMICON_AWI_12,AOML,AWI,Fram Straight,1
GLOMICON_AWI_16,AOML,AWI,Fram Straight,2
GLOMICON_AWI_20,AOML,AWI,Fram Straight,3
GLOMICON_AWI_4,AOML,AWI,Fram Straight,4
GLOMICON_AWI_8,AOML,AWI,Fram Straight,5
GLOMICON_BloomMock_1,AOML,BLOOMMOCK,BLOOMMOCK,1
GLOMICON_BloomMock_10,AOML,BLOOMMOCK,BLOOMMOCK,2
GLOMICON_BloomMock_30,AOML,BLOOMMOCK,BLOOMMOCK,3
GLOMICON_BloomMock_4,AOML,BLOOMMOCK,BLOOMMOCK,4
GLOMICON_BloomMock_6,AOML,BLOOMMOCK,BLOOMMOCK,5
GLOMICON_EvenMock_1,AOML,EVENMOCK,EVENMOCK,1
GLOMICON_EvenMock_4,AOML,EVENMOCK,EVENMOCK,2
GLOMICON_EvenMock_5,AOML,EVENMOCK,EVENMOCK,3
GLOMICON_EvenMock_A,AOML,EVENMOCK,EVENMOCK,4
GLOMICON_EvenMock_B,AOML,EVENMOCK,EVENMOCK,5
GLOMICON_NOC_10,AOML,NOC,Western Channel,1
GLOMICON_NOC_16,AOML,NOC,Western Channel,2
GLOMICON_NOC_22,AOML,NOC,Western Channel,3
GLOMICON_NOC_3,AOML,NOC,Western Channel,4
GLOMICON_NOC_32,AOML,NOC,Western Channel,5
GLOMICON_Roscoff_11,AOML,SBR,Roscoff,1
GLOMICON_Roscoff_15,AOML,SBR,Roscoff,2
GLOMICON_Roscoff_19,AOML,SBR,Roscoff,3
GLOMICON_Roscoff_3,AOML,SBR,Roscoff,4
GLOMICON_Roscoff_7,AOML,SBR,Roscoff,5
LaJolla_03_0049,AWI,AOML,Scripps Pier,1
LaJolla_09_0049,AWI,AOML,Scripps Pier,2
LaJolla_15_0049,AWI,AOML,Scripps Pier,3
LaJolla_21_0049,AWI,AOML,Scripps Pier,4
LaJolla_27_0049,AWI,AOML,Scripps Pier,5
Framstrait_01_0049,AWI,AWI,Fram Straight,1
Framstrait_05_0049,AWI,AWI,Fram Straight,2
Framstrait_09_0049,AWI,AWI,Fram Straight,3
Framstrait_13_0049,AWI,AWI,Fram Straight,4
Framstrait_17_0049,AWI,AWI,Fram Straight,5
bloomMock_01_0049,AWI,BLOOMMOCK,BLOOMMOCK,1
bloomMock_02_0049,AWI,BLOOMMOCK,BLOOMMOCK,2
bloomMock_03_0049,AWI,BLOOMMOCK,BLOOMMOCK,3
bloomMock_04_0049,AWI,BLOOMMOCK,BLOOMMOCK,4
bloomMock_05_0049,AWI,BLOOMMOCK,BLOOMMOCK,5
evenMock_01_0049,AWI,EVENMOCK,EVENMOCK,1
evenMock_02_0049,AWI,EVENMOCK,EVENMOCK,2
evenMock_03_0049,AWI,EVENMOCK,EVENMOCK,3
evenMock_04_0049,AWI,EVENMOCK,EVENMOCK,4
evenMock_05_0049,AWI,EVENMOCK,EVENMOCK,5
Davenport_02_0049,AWI,MBARI,Monterey Bay,1
Davenport_06_0049,AWI,MBARI,Monterey Bay,2
Davenport_11_0049,AWI,MBARI,Monterey Bay,3
Davenport_15_0049,AWI,MBARI,Monterey Bay,4
Davenport_19_0049,AWI,MBARI,Monterey Bay,5
Plymouth_06_0049,AWI,NOC,Western Channel,1
Plymouth_13_0049,AWI,NOC,Western Channel,2
Plymouth_19_0049,AWI,NOC,Western Channel,3
Plymouth_29_0049,AWI,NOC,Western Channel,4
Plymouth_30_0049,AWI,NOC,Western Channel,5
Bedford_01_0049,AWI,UDAL,Bedford Basin,1
Bedford_07_0049,AWI,UDAL,Bedford Basin,2
Bedford_13_0049,AWI,UDAL,Bedford Basin,3
Bedford_19_0049,AWI,UDAL,Bedford Basin,4
Bedford_25_0049,AWI,UDAL,Bedford Basin,5
NOAA11_AO,MBARI,AOML,Scripps Pier,1
NOAA14_AO,MBARI,AOML,Scripps Pier,2
NOAA20_AO,MBARI,AOML,Scripps Pier,3
AWIMOCKBLOOM16_AO,MBARI,BLOOMMOCK,BLOOMMOCK,1
AWIMOCKBLOOM18_AO,MBARI,BLOOMMOCK,BLOOMMOCK,2
AWIMOCKBLOOM28_AO,MBARI,BLOOMMOCK,BLOOMMOCK,3
AWIMOCKBLOOM7_AO,MBARI,BLOOMMOCK,BLOOMMOCK,4
AWIMOCKBLOOM8_AO,MBARI,BLOOMMOCK,BLOOMMOCK,5
AWIMOCKEVEN1_AO,MBARI,EVENMOCK,EVENMOCK,1
AWIMOCKEVEN2_AO,MBARI,EVENMOCK,EVENMOCK,2
AWIMOCKEVEN3_AO,MBARI,EVENMOCK,EVENMOCK,3
AWIMOCKEVEN4_AO,MBARI,EVENMOCK,EVENMOCK,4
AWIMOCKEVEN5_AO,MBARI,EVENMOCK,EVENMOCK,5
CN18Sc37_12_Rep_Stdy10_AO,MBARI,MBARI,Monterey Bay,1
CN18Sc37_12_Rep_Stdy14_AO,MBARI,MBARI,Monterey Bay,2
CN18Sc37_12_Rep_Stdy18_AO,MBARI,MBARI,Monterey Bay,3
CN18Sc37_12_Rep_Stdy22_AO,MBARI,MBARI,Monterey Bay,4
CN18Sc37_12_Rep_Stdy5_AO,MBARI,MBARI,Monterey Bay,5
NOC12_AO,MBARI,NOC,Western Channel,1
NOC2_AO,MBARI,NOC,Western Channel,2
NOC31_AO,MBARI,NOC,Western Channel,3
NOC51_AO,MBARI,NOC,Western Channel,4
NOC9_AO,MBARI,NOC,Western Channel,5
UDalhousie14_AO,MBARI,UDAL,Bedford Basin,1
UDalhousie20_AO,MBARI,UDAL,Bedford Basin,2
UDalhousie26_AO,MBARI,UDAL,Bedford Basin,3
UDalhousie2_AO,MBARI,UDAL,Bedford Basin,4
UDalhousie8_AO,MBARI,UDAL,Bedford Basin,5
cj-NOAA07,SBR,AOML,Scripps Pier,1
cj-NOAA13,SBR,AOML,Scripps Pier,2
cj-NOAA18,SBR,AOML,Scripps Pier,3
cj-NOAA24,SBR,AOML,Scripps Pier,4
cj-NOAA30,SBR,AOML,Scripps Pier,5
cj-BMk13,SBR,BLOOMMOCK,BLOOMMOCK,1
cj-BMk15,SBR,BLOOMMOCK,BLOOMMOCK,2
cj-BMk17,SBR,BLOOMMOCK,BLOOMMOCK,3
cj-BMk21,SBR,BLOOMMOCK,BLOOMMOCK,4
cj-BMk25,SBR,BLOOMMOCK,BLOOMMOCK,5
cj-EMk03,SBR,EVENMOCK,EVENMOCK,1
cj-EMk08,SBR,EVENMOCK,EVENMOCK,2
cj-EMk09,SBR,EVENMOCK,EVENMOCK,3
cj-EMk15,SBR,EVENMOCK,EVENMOCK,4
cj-EMk17,SBR,EVENMOCK,EVENMOCK,5
cj-MBA03,SBR,MBARI,Monterey Bay,1
cj-MBA07,SBR,MBARI,Monterey Bay,2
cj-MBA12,SBR,MBARI,Monterey Bay,3
cj-MBA16,SBR,MBARI,Monterey Bay,4
cj-MBA20,SBR,MBARI,Monterey Bay,5
cj-SOC05,SBR,NOC,Western Channel,1
cj-SOC12,SBR,NOC,Western Channel,2
cj-SOC18,SBR,NOC,Western Channel,3
cj-SOC24,SBR,NOC,Western Channel,4
cj-SOC28,SBR,NOC,Western Channel,5
cj-ROS01,SBR,SBR,Roscoff,1
cj-ROS05,SBR,SBR,Roscoff,2
cj-ROS09,SBR,SBR,Roscoff,3
cj-ROS13,SBR,SBR,Roscoff,4
cj-ROS17,SBR,SBR,Roscoff,5
cj-DAL03,SBR,UDAL,Bedford Basin,1
cj-DAL09,SBR,UDAL,Bedford Basin,2
cj-DAL15,SBR,UDAL,Bedford Basin,3
cj-DAL21,SBR,UDAL,Bedford Basin,4
cj-DAL27,SBR,UDAL,Bedford Basin,5
E-G13-NOAA23,UDAL,AOML,Scripps Pier,1
E-G2-NOAA29,UDAL,AOML,Scripps Pier,2
G18r-NOAA6,UDAL,AOML,Scripps Pier,3
G23r-NOAA12,UDAL,AOML,Scripps Pier,4
G26r-NOAA5,UDAL,AOML,Scripps Pier,5
G9r-NOAA17,UDAL,AOML,Scripps Pier,6
E-G1-AWI11,UDAL,AWI,Fram Straight,1
E-G15-AWI3,UDAL,AWI,Fram Straight,2
G19r-AWI7,UDAL,AWI,Fram Straight,3
G24r-AWI15,UDAL,AWI,Fram Straight,4
G8r-AWI19,UDAL,AWI,Fram Straight,5
E-G32-bMock2,UDAL,BLOOMMOCK,BLOOMMOCK,1
E-G33-bMock9,UDAL,BLOOMMOCK,BLOOMMOCK,2
E-G34-bMock20,UDAL,BLOOMMOCK,BLOOMMOCK,3
