ASV,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV_13705,,unknown,Dinophyceae,Syndiniales,,,
ASV_11132,,Cercozoa,Thecofilosea,Tectofilosida,Chlamydophryidae,Lecythium,
ASV_13578,,unknown,Dinophyceae,Gonyaulacales,Pyrophacaceae,Fragilidium,
ASV_13105,,Haptophyta,unknown,Phaeocystales,Phaeocystaceae,,
ASV_13582,,Haptophyta,unknown,Phaeocystales,Phaeocystaceae,,
ASV_10728,,unknown,Acantharea,,,,
ASV_12846,,Ciliophora,Oligohymenophorea,Sessilida,Epistylidae,,
ASV_13280,,unknown,Bigyra,Bicosoecida,,,
ASV_10649,,Haptophyta,unknown,Prymnesiales,Prymnesiaceae,Haptolina,
ASV_13134,,Haptophyta,unknown,Isochrysidales,Noelaerhabdaceae,,
ASV_13879,,Haptophyta,unknown,Prymnesiales,Prymnesiaceae,Haptolina,
ASV_10966,,Haptophyta,unknown,Phaeocystales,Phaeocystaceae,,
ASV_11747,,Haptophyta,unknown,Phaeocystales,Phaeocystaceae,,
ASV_11574,,Haptophyta,unknown,Phaeocystales,Phaeocystaceae,,
ASV_11753,,Haptophyta,unknown,Phaeocystales,Phaeocystaceae,,
ASV_11624,,Haptophyta,unknown,Phaeocystales,Phaeocystaceae,,
ASV_10961,,Haptophyta,unknown,Phaeocystales,Phaeocystaceae,,
ASV_11741,,Haptophyta,unknown,Phaeocystales,Phaeocystaceae,,
ASV_10244,,Haptophyta,unknown,Phaeocystales,Phaeocystaceae,,
ASV_13132,,unknown,Dinophyceae,Prorocentrales,Prorocentraceae,Prorocentrum,
ASV_14178,,unknown,Dinophyceae,Coccidiniales,Chytriodiniaceae,Chytriodinium,Chytriodinium affine
ASV_13457,,unknown,Bolidophyceae,Parmales,Triparmaceae,,
ASV_13685,,Haptophyta,unknown,Phaeocystales,Phaeocystaceae,,
ASV_14371,,Haptophyta,unknown,Phaeocystales,Phaeocystaceae,Phaeocystis,
ASV_7299,Viridiplantae,Chlorophyta,Chloropicophyceae,Chloropicales,Chloropicaceae,Chloropicon,Chloropicon sieburthii
ASV_2069,,Bacillariophyta,Coscinodiscophyceae,Melosirales,Melosiraceae,Melosira,
ASV_394,,Bacillariophyta,Coscinodiscophyceae,Melosirales,Melosiraceae,Melosira,
ASV_6145,,Bacillariophyta,Coscinodiscophyceae,Stephanodiscales,Stephanodiscaceae,Cyclotella,Cyclotella striata
ASV_3164,,Bacillariophyta,Coscinodiscophyceae,Melosirales,Melosiraceae,Melosira,
ASV_7690,,Bacillariophyta,Fragilariophyceae,Rhaponeidales,Rhaphoneidaceae,Rhaphoneis,Rhaphoneis sp. s0366
ASV_7937,,Bacillariophyta,Fragilariophyceae,Rhaponeidales,Rhaphoneidaceae,Rhaphoneis,Rhaphoneis sp. s0366
ASV_7318,Viridiplantae,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae,Bathycoccus,Bathycoccus prasinos
ASV_819,Viridiplantae,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae,Bathycoccus,Bathycoccus prasinos
ASV_4664,,Bacillariophyta,Coscinodiscophyceae,Melosirales,Melosiraceae,Melosira,
ASV_1931,,Bacillariophyta,Coscinodiscophyceae,Melosirales,Melosiraceae,Melosira,
ASV_617,Viridiplantae,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,
ASV_4900,Viridiplantae,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,
ASV_7979,Viridiplantae,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,
ASV_8046,Viridiplantae,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,
ASV_9433,Viridiplantae,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,
ASV_2807,Viridiplantae,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,Micromonas pusilla
ASV_1894,Viridiplantae,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,
ASV_6604,Viridiplantae,Chlorophyta,Pyramimonadophyceae,Pyramimonadales,Pyramimonadaceae,Pyramimonas,Pyramimonas parkeae
ASV_4929,Viridiplantae,Chlorophyta,,,,,
ASV_9353,Viridiplantae,Chlorophyta,,,,,
ASV_1032,,unknown,Dinophyceae,,,,
ASV_2635,,unknown,Dinophyceae,,,,
ASV_2803,,unknown,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gyrodinium,
ASV_7241,,unknown,Dinophyceae,,,,
ASV_8621,,unknown,Dinophyceae,Peridiniales,,,
ASV_5499,,unknown,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gyrodinium,
ASV_12994,,Cercozoa,,,,,
ASV_14495,,Cercozoa,,,,,
ASV_12470,,Imbricatea,unknown,Thaumatomonadida,,,
ASV_13001,,Haptophyta,unknown,Phaeocystales,Phaeocystaceae,Phaeocystis,
ASV_10837,,Haptophyta,unknown,Phaeocystales,Phaeocystaceae,,
ASV_10338,,Haptophyta,unknown,Phaeocystales,Phaeocystaceae,,
ASV_12732,,unknown,Dinophyceae,Syndiniales,,,
ASV_13189,,Endomyxa,unknown,Vampyrellida,,,
ASV_13411,,Discosea,,,,,
ASV_14207,,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,,
ASV_13993,,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,
ASV_11827,,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,
ASV_10438,,unknown,Bigyra,Thraustochytrida,Thraustochytriaceae,unknown,Thraustochytriidae sp. thel2
ASV_11348,,unknown,Bigyra,Thraustochytrida,Thraustochytriaceae,unknown,Thraustochytriidae sp. thel2
ASV_11603,,unknown,Bigyra,Thraustochytrida,Thraustochytriaceae,unknown,Thraustochytriidae sp. thel2
ASV_11713,,unknown,Bigyra,Thraustochytrida,Thraustochytriaceae,unknown,Thraustochytriidae sp. thel2
ASV_11137,,unknown,Bigyra,Thraustochytrida,Thraustochytriaceae,,
ASV_11212,,unknown,Bigyra,Thraustochytrida,Thraustochytriaceae,,
ASV_14031,,unknown,Bigyra,Thraustochytrida,Thraustochytriaceae,,
ASV_10753,,unknown,Bigyra,Thraustochytrida,Thraustochytriaceae,,
ASV_11240,,unknown,Bigyra,Thraustochytrida,Thraustochytriaceae,,
ASV_13529,,unknown,Bigyra,Thraustochytrida,Thraustochytriaceae,,
ASV_14413,,unknown,Bigyra,Thraustochytrida,Thraustochytriaceae,,
ASV_7410,,Cercozoa,Thecofilosea,Tectofilosida,Chlamydophryidae,Lecythium,
ASV_764,,Haptophyta,unknown,Phaeocystales,Phaeocystaceae,Phaeocystis,
ASV_8540,,Haptophyta,unknown,Prymnesiales,Prymnesiaceae,Haptolina,
ASV_7640,,Haptophyta,unknown,Prymnesiales,Prymnesiaceae,Haptolina,
ASV_8428,,Haptophyta,unknown,Isochrysidales,Isochrysidaceae,Isochrysis,
ASV_7860,,Haptophyta,unknown,Isochrysidales,Isochrysidaceae,Isochrysis,
ASV_8504,,Haptophyta,unknown,Prymnesiales,Prymnesiaceae,Prymnesium,
ASV_8422,,Haptophyta,unknown,Prymnesiales,Prymnesiaceae,Prymnesium,
ASV_7019,,Haptophyta,unknown,Phaeocystales,Phaeocystaceae,Phaeocystis,
ASV_7215,,Haptophyta,unknown,Phaeocystales,Phaeocystaceae,Phaeocystis,
ASV_8432,,Haptophyta,unknown,Phaeocystales,Phaeocystaceae,,
ASV_209,,Haptophyta,unknown,Phaeocystales,Phaeocystaceae,,
ASV_8398,,Haptophyta,unknown,Phaeocystales,Phaeocystaceae,Phaeocystis,
ASV_8456,,Haptophyta,unknown,Phaeocystales,Phaeocystaceae,Phaeocystis,
ASV_6828,,Haptophyta,unknown,Phaeocystales,Phaeocystaceae,Phaeocystis,
ASV_6721,,Haptophyta,unknown,Phaeocystales,Phaeocystaceae,Phaeocystis,
ASV_7831,,Haptophyta,unknown,Phaeocystales,Phaeocystaceae,Phaeocystis,
ASV_6876,,Haptophyta,unknown,Phaeocystales,Phaeocystaceae,Phaeocystis,
ASV_8970,,Haptophyta,unknown,Phaeocystales,Phaeocystaceae,,
ASV_7865,,Haptophyta,unknown,Phaeocystales,Phaeocystaceae,,
ASV_8833,,Haptophyta,unknown,Phaeocystales,Phaeocystaceae,,
ASV_6469,,Haptophyta,unknown,Phaeocystales,Phaeocystaceae,,
ASV_7887,,Haptophyta,unknown,Phaeocystales,Phaeocystaceae,,
ASV_6600,,Haptophyta,unknown,Phaeocystales,Phaeocystaceae,,
ASV_7190,,unknown,Dinophyceae,Peridiniales,unknown,unknown,Peridiniales sp. KW-2017a
ASV_8917,,Haptophyta,unknown,Phaeocystales,Phaeocystaceae,Phaeocystis,
ASV_553,,Haptophyta,unknown,Phaeocystales,Phaeocystaceae,Phaeocystis,
ASV_7120,,Haptophyta,unknown,Phaeocystales,Phaeocystaceae,,
ASV_8941,,Haptophyta,unknown,Phaeocystales,Phaeocystaceae,Phaeocystis,
ASV_8418,,Haptophyta,unknown,Phaeocystales,Phaeocystaceae,,
ASV_6874,,Haptophyta,unknown,Phaeocystales,Phaeocystaceae,,
ASV_7204,,Haptophyta,unknown,Phaeocystales,Phaeocystaceae,Phaeocystis,
ASV_9093,,unknown,Bolidophyceae,Parmales,Triparmaceae,,
ASV_5720,,unknown,unknown,unknown,unknown,unknown,uncultured marine eukaryote
ASV_784,,unknown,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Gonyaulax,
ASV_6889,,unknown,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Gonyaulax,
ASV_978,,unknown,Dinophyceae,Peridiniales,Protoperidiniaceae,Protoperidinium,Protoperidinium monovelum
ASV_3865,,unknown,Dinophyceae,Peridiniales,,,
ASV_2694,,unknown,Dinophyceae,Syndiniales,Amoebophryaceae,Amoebophrya,
ASV_1059,,unknown,Dinophyceae,,,,
ASV_7545,,unknown,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,
ASV_9152,,Cercozoa,Thecofilosea,Cryomonadida,Protaspidae,Cryothecomonas,
ASV_5860,,Cercozoa,Thecofilosea,Cryomonadida,Protaspidae,Cryothecomonas,
ASV_9285,,Cercozoa,Thecofilosea,Cryomonadida,Rhogostomidae,Rhogostoma,
ASV_6646,,Cercozoa,Thecofilosea,Cryomonadida,Rhogostomidae,Rhogostoma,
ASV_6829,,Cercozoa,Thecofilosea,Cryomonadida,Rhogostomidae,Rhogostoma,
ASV_8949,,Cercozoa,Thecofilosea,Cryomonadida,Protaspidae,Cryothecomonas,Cryothecomonas longipes
ASV_9246,,Cercozoa,Thecofilosea,Cryomonadida,Rhogostomidae,Rhogostoma,
ASV_6725,,unknown,Cryptophyceae,,,,
ASV_5888,,Cercozoa,Thecofilosea,Cryomonadida,Rhogostomidae,Rhogostoma,
ASV_9270,,unknown,Choanoflagellata,Acanthoecida,Acanthoecidae,Enibas,Enibas tolerabilis
ASV_6264,Viridiplantae,Chlorophyta,Mamiellophyceae,Dolichomastigales,,,
ASV_6977,Viridiplantae,Chlorophyta,Mamiellophyceae,,,,
ASV_2715,,unknown,Dinophyceae,Syndiniales,,,
ASV_9308,,unknown,Dinophyceae,Peridiniales,,,
ASV_7654,,unknown,Dinophyceae,Gymnodiniales,Ceratoperidiniaeceae,,
ASV_2801,,Bacillariophyta,Coscinodiscophyceae,Rhizosoleniales,Rhizosoleniaceae,,
ASV_2665,,unknown,Dinophyceae,Abediniales,Abediniaceae,Abedinium,Abedinium dasypus
ASV_3118,,Ciliophora,Spirotrichea,unknown,Tontoniidae,Spirotontonia,Spirotontonia grandis
ASV_3679,,Ciliophora,Spirotrichea,,,,
ASV_6765,,Ciliophora,,,,,
ASV_2399,,unknown,Bigyra,,,,
ASV_3378,,unknown,Bigyra,,,,
ASV_2996,,unknown,Bigyra,,,,
ASV_3256,,unknown,Bigyra,,,,
ASV_8631,,unknown,Bigyra,,,,
ASV_5451,,unknown,Bigyra,,,,
ASV_3771,,unknown,Bigyra,,,,
ASV_2111,,unknown,Bigyra,,,,
ASV_3620,,unknown,Bigyra,,,,
ASV_6933,,Bacillariophyta,Coscinodiscophyceae,Leptocylindrales,Leptocylindraceae,Leptocylindrus,
ASV_2482,,Bacillariophyta,Coscinodiscophyceae,Leptocylindrales,Leptocylindraceae,Leptocylindrus,Leptocylindrus convexus
ASV_9257,,unknown,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,,
ASV_8526,,unknown,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,,
ASV_8862,,unknown,Cryptophyceae,Pyrenomonadales,Geminigeraceae,,
ASV_9076,,unknown,Cryptophyceae,Pyrenomonadales,Geminigeraceae,,
ASV_3373,,unknown,unknown,unknown,unknown,unknown,uncultured marine eukaryote
ASV_3113,,unknown,Chrysophyceae,,,,
ASV_6632,,unknown,unknown,unknown,unknown,unknown,uncultured marine picoeukaryote
ASV_2568,,unknown,unknown,unknown,unknown,unknown,uncultured marine picoeukaryote
ASV_7580,,unknown,unknown,unknown,unknown,unknown,uncultured marine picoeukaryote
ASV_2995,,unknown,unknown,unknown,unknown,unknown,uncultured marine picoeukaryote
ASV_8894,,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema,
ASV_8522,,unknown,unknown,unknown,unknown,unknown,uncultured marine picoeukaryote
ASV_7080,,unknown,Chrysophyceae,,,,
ASV_5671,,unknown,Chrysophyceae,Chromulinales,Paraphysomonadaceae,Paraphysomonas,
ASV_3788,,unknown,Chrysophyceae,,,,
ASV_2308,,unknown,Chrysophyceae,,,,
ASV_3019,,unknown,Chrysophyceae,,,,
ASV_3305,,unknown,Chrysophyceae,,,,
ASV_5445,,unknown,Chrysophyceae,Chromulinales,,,
ASV_8870,,unknown,Chrysophyceae,,,,
ASV_3052,,unknown,unknown,unknown,unknown,unknown,uncultured marine eukaryote
ASV_7433,,unknown,Chrysophyceae,,,,
ASV_7592,,unknown,Chrysophyceae,,,,
ASV_3476,,unknown,Chrysophyceae,,,,
ASV_6951,,unknown,unknown,unknown,unknown,unknown,uncultured marine eukaryote
ASV_6191,,unknown,unknown,unknown,unknown,unknown,uncultured marine picoeukaryote
ASV_8435,,Haptophyta,unknown,Phaeocystales,Phaeocystaceae,Phaeocystis,
ASV_8727,,Haptophyta,unknown,Phaeocystales,Phaeocystaceae,,
ASV_6232,,Haptophyta,,,,,
ASV_7968,Viridiplantae,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Mantoniella,
ASV_8417,,Haptophyta,unknown,Isochrysidales,Isochrysidaceae,Isochrysis,
ASV_8916,,Haptophyta,unknown,Isochrysidales,Isochrysidaceae,Isochrysis,
ASV_8512,,Haptophyta,unknown,Isochrysidales,Isochrysidaceae,Isochrysis,
ASV_8948,,Haptophyta,unknown,Isochrysidales,Isochrysidaceae,Isochrysis,
ASV_7177,,Haptophyta,unknown,Isochrysidales,Isochrysidaceae,Isochrysis,
ASV_8445,,Haptophyta,unknown,Isochrysidales,Isochrysidaceae,Isochrysis,
ASV_8750,,Haptophyta,unknown,Isochrysidales,Isochrysidaceae,Isochrysis,
ASV_2201,,Haptophyta,unknown,Isochrysidales,Isochrysidaceae,Isochrysis,
ASV_5290,,Haptophyta,unknown,Isochrysidales,Isochrysidaceae,Isochrysis,
ASV_8763,,Haptophyta,unknown,Isochrysidales,Isochrysidaceae,Isochrysis,
ASV_8002,,Haptophyta,unknown,Isochrysidales,Isochrysidaceae,Isochrysis,
ASV_8749,,Haptophyta,unknown,Isochrysidales,Isochrysidaceae,Isochrysis,
ASV_8736,,Haptophyta,unknown,Isochrysidales,Isochrysidaceae,Isochrysis,
ASV_6845,,Haptophyta,unknown,Isochrysidales,Isochrysidaceae,Isochrysis,
ASV_7365,,Haptophyta,unknown,Isochrysidales,Isochrysidaceae,Isochrysis,
ASV_8779,,Haptophyta,unknown,Isochrysidales,Isochrysidaceae,Isochrysis,
ASV_5846,,Haptophyta,unknown,Isochrysidales,Isochrysidaceae,Isochrysis,
ASV_5456,,Haptophyta,unknown,Isochrysidales,Isochrysidaceae,Isochrysis,
ASV_7063,,Haptophyta,unknown,Prymnesiales,,,
ASV_8696,,Haptophyta,unknown,Phaeocystales,Phaeocystaceae,,
ASV_8434,,Haptophyta,unknown,Prymnesiales,Prymnesiaceae,Prymnesium,
ASV_8509,,unknown,Dinophyceae,,,,
ASV_8427,,Haptophyta,unknown,Prymnesiales,Prymnesiaceae,Prymnesium,
ASV_8399,,Haptophyta,unknown,Prymnesiales,Prymnesiaceae,Prymnesium,
ASV_5699,,Haptophyta,,,,,
ASV_7885,,Haptophyta,unknown,Phaeocystales,Phaeocystaceae,,
ASV_7326,,Bacillariophyta,Coscinodiscophyceae,Rhizosoleniales,Rhizosoleniaceae,Dactyliosolen,Dactyliosolen blavyanus
ASV_7496,,unknown,Polycystinea,,,,
ASV_8495,,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Minidiscus,
ASV_7091,,Bacillariophyta,Coscinodiscophyceae,Leptocylindrales,Leptocylindraceae,Leptocylindrus,
ASV_3314,,unknown,Acantharea,Arthracanthida,Phyllostauridae,Acanthostaurus,Acanthostaurus purpurascens
ASV_2723,,unknown,Acantharea,Holacanthida,Acanthochiasmidae,Trizona,Trizona brandti
ASV_2011,,unknown,Dinophyceae,Syndiniales,,,
ASV_2245,,unknown,Dinophyceae,,,,
ASV_3526,,unknown,Dinophyceae,,,,
ASV_3062,,unknown,Dinophyceae,,,,
ASV_2390,,unknown,Dinophyceae,Peridiniales,,,
ASV_7510,,unknown,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Alexandrium,
ASV_6949,,unknown,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Alexandrium,
ASV_670,,unknown,Dinophyceae,Syndiniales,Eudubosquellidae,Euduboscquella,
ASV_7564,,unknown,Dinophyceae,Syndiniales,Eudubosquellidae,Euduboscquella,
ASV_6890,,unknown,Dinophyceae,Syndiniales,Eudubosquellidae,Euduboscquella,
ASV_3628,,unknown,Dinophyceae,Syndiniales,Eudubosquellidae,Euduboscquella,
ASV_5660,,unknown,Dinophyceae,Syndiniales,Eudubosquellidae,Euduboscquella,
ASV_2387,,unknown,Dinophyceae,Syndiniales,,,
ASV_8628,,unknown,Dinophyceae,Syndiniales,Eudubosquellidae,Euduboscquella,
ASV_7230,,unknown,Dinophyceae,Syndiniales,Eudubosquellidae,Euduboscquella,
ASV_755,,unknown,Dinophyceae,Syndiniales,,,
ASV_5403,,unknown,Dinophyceae,Syndiniales,,,
ASV_5657,,unknown,Dinophyceae,Syndiniales,,,
ASV_7245,,unknown,Dinophyceae,Syndiniales,,,
ASV_5933,,unknown,Dinophyceae,Gymnodiniales,Kareniaceae,Karlodinium,Karlodinium veneficum
ASV_5522,,unknown,Dinophyceae,Syndiniales,,,
ASV_7271,,unknown,Dinophyceae,Gymnodiniales,Kareniaceae,Karlodinium,Karlodinium veneficum
ASV_2750,,unknown,Dinophyceae,Syndiniales,Eudubosquellidae,Euduboscquella,
ASV_3310,,unknown,Dinophyceae,Gymnodiniales,Warnowiaceae,,
ASV_2310,,unknown,Dinophyceae,Gymnodiniales,Warnowiaceae,,
ASV_8908,,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,,
ASV_3346,,unknown,Phaeophyceae,Fucales,Sargassaceae,,
ASV_2558,,unknown,Phaeophyceae,Fucales,Sargassaceae,,
ASV_584,,unknown,Dinophyceae,Gonyaulacales,Gonyaulacaceae,,
ASV_3503,,Picozoa,,,,,
ASV_2396,,Picozoa,,,,,
ASV_5289,,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,,
ASV_7965,,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,,
ASV_7739,,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,,
ASV_7217,Viridiplantae,Chlorophyta,,,,,
ASV_8429,,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,,
ASV_8453,,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,,
ASV_8516,,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,,
ASV_8507,,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,,
ASV_8431,,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,,
ASV_8459,,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,,
ASV_8505,,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,,
