ASV,domain,kingdom,supergroup,division,subdivision,class,order,family,genus,species
ASV_1,Eukaryota,unassigned,unassigned,Prymnesiophyceae,unassigned,Prymnesiophyceae,Prymnesiophyceae,Prymnesiophyceae,Phaeocystis,Phaeocystis_pouchetii
ASV_2,Eukaryota,unassigned,unassigned,Bacillariophyta,unassigned,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,unassigned
ASV_3,Eukaryota,unassigned,unassigned,Bacillariophyta,unassigned,Coscinodiscophyceae,Melosirales,Melosiraceae,Melosira,unassigned
ASV_4,Eukaryota,unassigned,unassigned,Bacillariophyta,unassigned,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,unassigned
ASV_5,Eukaryota,unassigned,unassigned,unassigned,unassigned,Dinophyceae,Thoracosphaerales,Thoracosphaeraceae,Ensiculifera,Ensiculifera_imariensis
ASV_6,Eukaryota,unassigned,TSAR,Stramenopiles,Gyrista,Mediophyceae,Thalassiosirales,Thalassiosiraceae,Conticribra,Conticribra_weissflogii
ASV_7,Eukaryota,unassigned,TSAR,Stramenopiles,Gyrista,Coscinodiscophyceae,Melosirales,Melosiraceae,Melosira,unassigned
ASV_8,Eukaryota,unassigned,unassigned,Chlorophyta,unassigned,Pyramimonadophyceae,Pyramimonadales,Pyramimonadaceae,Pyramimonas,Pyramimonas_parkeae
ASV_9,Eukaryota,unassigned,TSAR,Stramenopiles,Gyrista,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,Pseudo-nitzschia_seriata
ASV_10,Eukaryota,unassigned,unassigned,Bacillariophyta,unassigned,Mediophyceae,unassigned,unassigned,unassigned,unassigned
ASV_11,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,uncultured_marine_eukaryote
ASV_12,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_13,Eukaryota,unassigned,TSAR,Alveolata,Dinoflagellata,Dinophyceae,unassigned,unassigned,unassigned,unassigned
ASV_14,Eukaryota,unassigned,unassigned,Dinoflagellata,unassigned,Dinophyceae,unassigned,unassigned,unassigned,unassigned
ASV_15,Eukaryota,unassigned,unassigned,unassigned,unassigned,Dinophyceae,unassigned,unassigned,unassigned,unassigned
ASV_16,Eukaryota,unassigned,unassigned,unassigned,unassigned,Dinophyceae,Gymnodiniales,unassigned,unassigned,unassigned
ASV_17,Eukaryota,unassigned,Hacrobia,Haptophyta,unassigned,Prymnesiophyceae,Phaeocystales,Phaeocystaceae,Phaeocystis,Phaeocystis_pouchetii
ASV_18,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_19,Eukaryota,unassigned,Obazoa,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,unassigned,unassigned
ASV_20,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,uncultured_marine_picoeukaryote
ASV_21,Eukaryota,unassigned,unassigned,Haptista,unassigned,Haptophyta,unassigned,unassigned,unassigned,unassigned
ASV_22,Eukaryota,unassigned,Archaeplastida,Chlorophyta,Chlorophyta_X,Pyramimonadophyceae,Pyramimonadales,Pyramimonadaceae,Pyramimonas,Pyramimonas_parkeae
ASV_23,Eukaryota,unassigned,unassigned,Haptista,unassigned,Haptophyta,Phaeocystales,Phaeocystaceae,Phaeocystis,unassigned
ASV_24,Eukaryota,unassigned,unassigned,Bacillariophyta,unassigned,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,unassigned
ASV_25,Eukaryota,unassigned,unassigned,Ciliophora,unassigned,Spirotrichea,unassigned,Strombidiidae,Strombidium,Strombidium_caudispina
ASV_26,Eukaryota,unassigned,Archaeplastida,Chlorophyta,Chlorophyta_X,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,Micromonas_polaris
ASV_27,Eukaryota,unassigned,TSAR,Alveolata,Dinoflagellata,Dinophyceae,unassigned,unassigned,unassigned,unassigned
ASV_28,Eukaryota,unassigned,Alveolata,Dinoflagellata,unassigned,Dinophyceae,Prorocentrales,Prorocentraceae,Prorocentrum,Prorocentrum_micans
ASV_29,Eukaryota,unassigned,unassigned,unassigned,unassigned,Dinophyceae,unassigned,unassigned,Spiniferites,Spiniferites_ramosus
ASV_30,Eukaryota,unassigned,TSAR,Stramenopiles,Gyrista,Mediophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira_curviseriata
ASV_31,Eukaryota,unassigned,unassigned,Bacillariophyta,unassigned,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,unassigned,unassigned
ASV_32,Eukaryota,unassigned,unassigned,unassigned,unassigned,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gyrodinium,Gyrodinium_rubrum
ASV_33,Eukaryota,unassigned,Opisthokonta,Metazoa,unassigned,Arthropoda,Crustacea,Maxillopoda,Anomalocera,Anomalocera_patersoni
ASV_34,Eukaryota,unassigned,TSAR,Alveolata,Dinoflagellata,Dinophyceae,Gymnodiniales,Kareniaceae,Karlodinium,unassigned
ASV_35,Eukaryota,unassigned,unassigned,Arthropoda,unassigned,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,unassigned
ASV_36,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_37,Eukaryota,unassigned,unassigned,Dinoflagellata,unassigned,Dinophyceae,unassigned,unassigned,unassigned,unassigned
ASV_38,Eukaryota,unassigned,unassigned,Arthropoda,unassigned,Hexanauplia,Cyclopoida,Oithonidae,unassigned,unassigned
ASV_39,Eukaryota,unassigned,unassigned,Arthropoda,unassigned,Hexanauplia,Calanoida,Calanidae,unassigned,unassigned
ASV_40,Eukaryota,unassigned,Obazoa,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,Maxillopoda_X,Maxillopoda_X_sp.
ASV_41,Eukaryota,unassigned,Haptista,Haptophyta,Haptophyta_X,Prymnesiophyceae,Phaeocystales,Phaeocystaceae,Phaeocystis,unassigned
ASV_42,Eukaryota,unassigned,unassigned,Haptista,unassigned,Haptophyta,Prymnesiales,Prymnesiaceae,Prymnesium,unassigned
ASV_43,Eukaryota,unassigned,unassigned,unassigned,unassigned,Dinophyceae,Peridiniales,Heterocapsaceae,unassigned,unassigned
ASV_44,Eukaryota,unassigned,unassigned,Bacillariophyta,unassigned,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Minidiscus,unassigned
ASV_45,Eukaryota,unassigned,Haptista,Haptophyta,Haptophyta_X,Prymnesiophyceae,Isochrysidales,Isochrysidaceae,Isochrysis,Isochrysis_galbana
ASV_46,Eukaryota,unassigned,unassigned,Arthropoda,unassigned,Hexanauplia,Calanoida,Centropagidae,Sinocalanus,unassigned
ASV_47,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_48,Eukaryota,unassigned,TSAR,Stramenopiles,Gyrista,Mediophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros_gracilis
ASV_49,Eukaryota,unassigned,unassigned,Prymnesiophyceae,unassigned,Prymnesiophyceae,Prymnesiales,Prymnesiales,Prymnesium,Prymnesium_parvum
ASV_50,Eukaryota,unassigned,unassigned,Dinoflagellata,unassigned,Dinophyceae,unassigned,unassigned,unassigned,unassigned
ASV_51,Eukaryota,unassigned,unassigned,Cercozoa,unassigned,Thecofilosea,unassigned,Ebriacea,Ebria,Ebria_tripartita
ASV_52,Eukaryota,unassigned,unassigned,Arthropoda,unassigned,Hexanauplia,Calanoida,unassigned,unassigned,unassigned
ASV_53,Eukaryota,unassigned,Obazoa,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,Paracalanus,Paracalanus_parvus
ASV_54,Eukaryota,unassigned,Obazoa,Opisthokonta,Metazoa,Urochordata,Urochordata_X,Appendicularia,Oikopleura,unassigned
ASV_55,Eukaryota,unassigned,unassigned,Arthropoda,unassigned,Hexanauplia,Calanoida,Paracalanidae,Paracalanus,Paracalanus_parvus
ASV_56,Eukaryota,unassigned,unassigned,Bacillariophyta,unassigned,Mediophyceae,Cymatosirales,Cymatosiraceae,Minutocellus,Minutocellus_polymorphus
ASV_57,Eukaryota,unassigned,TSAR,Alveolata,Ciliophora,Spirotrichea,Oligotrichida,unassigned,unassigned,unassigned
ASV_58,Eukaryota,unassigned,unassigned,Chlorophyta,unassigned,unassigned,Pyramimonadales,unassigned,Pyramimonas,Pyramimonas_parkeae
ASV_59,Eukaryota,unassigned,unassigned,Chlorophyta,unassigned,Mamiellophyceae,Mamiellales,Mamiellales,Micromonas,uncultured_eukaryote
ASV_60,Eukaryota,unassigned,Archaeplastida,Chlorophyta,Chlorophyta_X,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,Micromonas_commoda_A2
ASV_61,Eukaryota,unassigned,TSAR,Alveolata,Dinoflagellata,Dinophyceae,unassigned,unassigned,unassigned,unassigned
ASV_62,Eukaryota,unassigned,unassigned,Dinoflagellata,unassigned,Dinophyceae,unassigned,unassigned,unassigned,unassigned
ASV_63,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_64,Eukaryota,unassigned,TSAR,Alveolata,Ciliophora,Spirotrichea,Oligotrichida,unassigned,unassigned,unassigned
ASV_65,Eukaryota,unassigned,Archaeplastida,Chlorophyta,Chlorophyta_X,Mamiellophyceae,Mamiellales,Bathycoccaceae,Ostreococcus,Ostreococcus_lucimarinus
ASV_66,Eukaryota,unassigned,unassigned,Dinoflagellata,unassigned,Dinophyceae,Gymnodiniphycidae,Gymnodiniphycidae,Gyrodinium,unassigned
ASV_67,Eukaryota,unassigned,unassigned,unassigned,unassigned,Dinophyceae,unassigned,unassigned,unassigned,Dinophyceae_sp._UDMS0803
ASV_68,Eukaryota,unassigned,unassigned,unassigned,unassigned,Cryptophyceae,unassigned,unassigned,unassigned,unassigned
ASV_69,Eukaryota,unassigned,unassigned,unassigned,unassigned,Dinophyceae,Peridiniales,unassigned,unassigned,unassigned
ASV_70,Eukaryota,unassigned,unassigned,Mollusca,unassigned,Bivalvia,Mytiloida,Mytilidae,Mytilus,unassigned
ASV_71,Eukaryota,unassigned,unassigned,unassigned,unassigned,Dinophyceae,Syndiniales,unassigned,unassigned,unassigned
ASV_72,Eukaryota,unassigned,unassigned,Bacillariophyta,unassigned,Coscinodiscophyceae,Melosirales,Melosiraceae,Melosira,unassigned
ASV_73,Eukaryota,unassigned,unassigned,unassigned,unassigned,Cryptophyceae,unassigned,unassigned,unassigned,unassigned
ASV_74,Eukaryota,unassigned,unassigned,Bacillariophyta,unassigned,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,unassigned
ASV_75,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_76,Eukaryota,unassigned,unassigned,Bacillariophyta,unassigned,Coscinodiscophyceae,Melosirales,Melosiraceae,Melosira,unassigned
ASV_77,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,phototrophic_eukaryote
