"","ASV","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1","ASV_1",NA,"Haptophyta",NA,"Phaeocystales","Phaeocystaceae","Phaeocystis","Phaeocystis pouchetii"
"2","ASV_10",NA,"Bacillariophyta","Mediophyceae",NA,NA,NA,NA
"3","ASV_100",NA,NA,"Dinophyceae","Gymnodiniales",NA,NA,NA
"4","ASV_1000",NA,"Ciliophora","Spirotrichea",NA,NA,NA,NA
"5","ASV_10000",NA,NA,"Dinophyceae",NA,NA,NA,NA
"6","ASV_10001",NA,NA,NA,NA,NA,NA,NA
"7","ASV_10002",NA,NA,"Dinophyceae",NA,NA,NA,NA
"8","ASV_10003",NA,NA,NA,NA,NA,NA,NA
"9","ASV_10004",NA,NA,"Dinophyceae","Syndiniales","Amoebophryaceae","Amoebophrya",NA
"10","ASV_10005",NA,"Euglenozoa","Diplonemea",NA,NA,NA,"Diplonemida sp. 3 RG-2016"
"11","ASV_10006",NA,NA,"Dinophyceae","Syndiniales","Amoebophryaceae","Amoebophrya",NA
"12","ASV_10007",NA,NA,"Dinophyceae","Syndiniales","Amoebophryaceae","Amoebophrya",NA
"13","ASV_10008",NA,NA,"Dinophyceae",NA,NA,NA,NA
"14","ASV_10009",NA,NA,"Dinophyceae",NA,NA,NA,NA
"15","ASV_1001",NA,NA,"Dinophyceae",NA,NA,NA,NA
"16","ASV_10010",NA,NA,"Dinophyceae","Syndiniales","Amoebophryaceae","Amoebophrya",NA
"17","ASV_10011",NA,NA,"Dinophyceae","Syndiniales","Amoebophryaceae","Amoebophrya",NA
"18","ASV_10012",NA,NA,NA,NA,NA,NA,NA
"19","ASV_10013",NA,NA,"Dinophyceae",NA,NA,NA,NA
"20","ASV_10014",NA,NA,NA,NA,NA,NA,NA
"21","ASV_10015",NA,NA,NA,NA,NA,NA,NA
"22","ASV_10016",NA,NA,"Dinophyceae",NA,NA,NA,NA
"23","ASV_10017","Metazoa","Annelida","Polychaeta","Phyllodocida","Typhloscolecidae","Typhloscolex",NA
"24","ASV_10018",NA,"Ciliophora",NA,NA,NA,NA,NA
"25","ASV_10019",NA,NA,"Dinophyceae",NA,NA,NA,NA
"26","ASV_1002",NA,"Bacillariophyta","Coscinodiscophyceae","Thalassiosirales","Thalassiosiraceae","Thalassiosira",NA
"27","ASV_10020",NA,"Ciliophora","Spirotrichea","Choreotrichida","Leegaardiellidae","Leegaardiella","Leegaardiella sp. LS803"
"28","ASV_10021",NA,"Ciliophora","Litostomatea","Cyclotrichida","Mesodiniidae",NA,NA
"29","ASV_10022",NA,NA,NA,NA,NA,NA,NA
"30","ASV_10023",NA,NA,NA,NA,NA,NA,NA
"31","ASV_10024",NA,NA,NA,NA,NA,NA,NA
"32","ASV_10025",NA,NA,"Polycystinea","Spumellaria","Ethmosphaeridae","Styptosphaera",NA
"33","ASV_10026",NA,NA,NA,NA,NA,NA,NA
"34","ASV_10027",NA,NA,NA,NA,NA,NA,NA
"35","ASV_10028",NA,NA,NA,NA,NA,NA,NA
"36","ASV_10029",NA,"Cercozoa","Thecofilosea","Cryomonadida","Protaspidae",NA,NA
"37","ASV_1003","Viridiplantae","Chlorophyta","Pyramimonadophyceae","Pyramimonadales","Pyramimonadaceae","Pyramimonas","Pyramimonas australis"
"38","ASV_10030",NA,NA,"Dinophyceae",NA,NA,NA,NA
"39","ASV_10031",NA,NA,"Acantharea","Symphyacanthida","Amphilithiidae",NA,NA
"40","ASV_10032",NA,NA,NA,NA,NA,NA,NA
"41","ASV_10033",NA,NA,"Dinophyceae","Peridiniales","Ensiculiferaceae","Pentapharsodinium","Pentapharsodinium tyrrhenicum"
"42","ASV_10034",NA,NA,NA,NA,NA,NA,NA
"43","ASV_10035",NA,NA,NA,NA,NA,NA,NA
"44","ASV_10036",NA,NA,"Dinophyceae","Syndiniales","Amoebophryaceae","Amoebophrya",NA
"45","ASV_10037",NA,"Euglenozoa","Diplonemea",NA,NA,NA,"Diplonemida sp. 3 RG-2016"
"46","ASV_10038",NA,NA,NA,NA,NA,NA,NA
"47","ASV_10039",NA,NA,"Dinophyceae",NA,NA,NA,NA
"48","ASV_1004",NA,"Cercozoa","Thecofilosea","Cryomonadida","Protaspidae","Cryothecomonas",NA
"49","ASV_10040",NA,NA,"Dinophyceae",NA,NA,NA,NA
"50","ASV_10041",NA,NA,"Dinophyceae",NA,NA,NA,NA
"51","ASV_10042",NA,NA,NA,NA,NA,NA,NA
"52","ASV_10043",NA,NA,NA,NA,NA,NA,NA
"53","ASV_10044",NA,NA,NA,NA,NA,NA,NA
"54","ASV_10045","Metazoa","Annelida","Polychaeta",NA,"Capitellidae","Notomastus",NA
"55","ASV_10046",NA,"Euglenozoa","Diplonemea",NA,NA,NA,"Diplonemida sp. 21sb RG-2016"
"56","ASV_10047",NA,NA,NA,NA,NA,NA,NA
"57","ASV_10048",NA,"Bacillariophyta","Bacillariophyceae","Naviculales","Naviculaceae","Haslea",NA
"58","ASV_10049",NA,NA,"Dinophyceae","Peridiniales","Peridiniaceae",NA,NA
"59","ASV_1005",NA,"Haptophyta",NA,"Phaeocystales","Phaeocystaceae","Phaeocystis",NA
