ASV,Domain,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV_1950,Archaea,,unknown,unknown,unknown,unknown,unknown,archaeon
ASV_9581,,,,,,,,
ASV_63,Archaea,,unknown,unknown,unknown,unknown,unknown,archaeon
ASV_3182,Archaea,,unknown,unknown,unknown,unknown,unknown,archaeon
ASV_603,Archaea,,unknown,unknown,unknown,unknown,unknown,archaeon
ASV_4435,Archaea,,unknown,unknown,unknown,unknown,unknown,archaeon
ASV_300,Archaea,,unknown,unknown,unknown,unknown,unknown,archaeon
ASV_1494,Archaea,,unknown,unknown,unknown,unknown,unknown,archaeon
ASV_75,Archaea,,unknown,unknown,unknown,unknown,unknown,archaeon
ASV_18,Archaea,,unknown,unknown,unknown,unknown,unknown,archaeon
ASV_5790,Archaea,,unknown,unknown,unknown,unknown,unknown,archaeon
ASV_2446,Archaea,,unknown,unknown,unknown,unknown,unknown,archaeon
ASV_3976,Archaea,,unknown,unknown,unknown,unknown,unknown,archaeon
ASV_36,Archaea,,unknown,unknown,unknown,unknown,unknown,archaeon
ASV_5355,Archaea,,,,,,,
ASV_93,Archaea,,unknown,unknown,unknown,unknown,unknown,archaeon
ASV_3016,Archaea,,unknown,unknown,unknown,unknown,unknown,archaeon
ASV_121,Archaea,,Candidatus Thermoplasmatota,Candidatus Poseidoniia,Candidatus Poseidoniales,Candidatus Thalassarchaeaceae,Candidatus Thalassarchaeum,Candidatus Thalassoarchaea mediterranii
ASV_2338,Bacteria,,unknown,unknown,unknown,unknown,unknown,bacterium
ASV_3359,Archaea,,unknown,unknown,unknown,unknown,unknown,archaeon
ASV_6323,Bacteria,,unknown,unknown,unknown,unknown,unknown,bacterium
ASV_13705,Eukaryota,,unknown,Dinophyceae,Syndiniales,,,
ASV_10250,,,,,,,,
ASV_11132,Eukaryota,,Cercozoa,Thecofilosea,Tectofilosida,Chlamydophryidae,Lecythium,
ASV_13578,Eukaryota,,unknown,Dinophyceae,Gonyaulacales,Pyrophacaceae,Fragilidium,
ASV_7807,,,,,,,,
ASV_9436,,,,,,,,
ASV_7721,Bacteria,,unknown,unknown,unknown,unknown,unknown,bacterium
ASV_3508,Bacteria,,unknown,unknown,unknown,unknown,unknown,bacterium
ASV_8049,Bacteria,,unknown,unknown,unknown,unknown,unknown,bacterium
ASV_4432,Bacteria,,unknown,unknown,unknown,unknown,unknown,bacterium
ASV_5749,Bacteria,,unknown,unknown,unknown,unknown,unknown,bacterium
ASV_13105,Eukaryota,,Haptophyta,unknown,Phaeocystales,Phaeocystaceae,,
ASV_13582,Eukaryota,,Haptophyta,unknown,Phaeocystales,Phaeocystaceae,,
ASV_10728,Eukaryota,,unknown,Acantharea,,,,
ASV_12846,Eukaryota,,Ciliophora,Oligohymenophorea,Sessilida,Epistylidae,,
