sample_name,Analyzing_Institute,Collecting_Institute,site
Davenport_02_0008,AWI,MBARI,Monterey Bay
Davenport_06_0008,AWI,MBARI,Monterey Bay
Davenport_11_0008,AWI,MBARI,Monterey Bay
Davenport_15_0008,AWI,MBARI,Monterey Bay
Davenport_19_0008,AWI,MBARI,Monterey Bay
Framstrait_01_0008,AWI,AWI,Fram Straight
Framstrait_05_0008,AWI,AWI,Fram Straight
Framstrait_09_0008,AWI,AWI,Fram Straight
Framstrait_13_0008,AWI,AWI,Fram Straight
Framstrait_17_0008,AWI,AWI,Fram Straight
Bedford_01_0049,AWI,UDAL,Bedford Basin
Bedford_07_0049,AWI,UDAL,Bedford Basin
Bedford_13_0049,AWI,UDAL,Bedford Basin
Bedford_19_0049,AWI,UDAL,Bedford Basin
Bedford_25_0049,AWI,UDAL,Bedford Basin
blank_01_0049,AWI,,
bloomMock_01_0049,AWI,BLOOMMOCK,BLOOMMOCK
bloomMock_02_0049,AWI,BLOOMMOCK,BLOOMMOCK
bloomMock_03_0049,AWI,BLOOMMOCK,BLOOMMOCK
bloomMock_04_0049,AWI,BLOOMMOCK,BLOOMMOCK
bloomMock_05_0049,AWI,BLOOMMOCK,BLOOMMOCK
Davenport_02_0049,AWI,MBARI,Monterey Bay
Davenport_06_0049,AWI,MBARI,Monterey Bay
Davenport_11_0049,AWI,MBARI,Monterey Bay
Davenport_15_0049,AWI,MBARI,Monterey Bay
Davenport_19_0049,AWI,MBARI,Monterey Bay
evenMock_01_0049,AWI,EVENMOCK,EVENMOCK
evenMock_02_0049,AWI,EVENMOCK,EVENMOCK
evenMock_03_0049,AWI,EVENMOCK,EVENMOCK
evenMock_04_0049,AWI,EVENMOCK,EVENMOCK
evenMock_05_0049,AWI,EVENMOCK,EVENMOCK
Framstrait_01_0049,AWI,AWI,Fram Straight
Framstrait_05_0049,AWI,AWI,Fram Straight
Framstrait_09_0049,AWI,AWI,Fram Straight
Framstrait_13_0049,AWI,AWI,Fram Straight
Framstrait_17_0049,AWI,AWI,Fram Straight
