ASV,Kingdom,Domain,Phylum,Class,Order,Family,Genus,Species,taxonomy,Supergroup
ASV_7928,Eukaryota,Opisthokonta,Mesomycetozoa,Ichthyosporea,Ichthyosphonida,Abeoformidae_Group_MAIP_1,Abeoformidae_Group_MAIP_1_X,AbeoformidaeGroupMAIP1,"Eukaryota,d:Opisthokonta,p:Mesomycetozoa,c:Ichthyosporea,o:Ichthyosphonida,f:Abeoformidae_Group_MAIP_1,g:Abeoformidae_Group_MAIP_1_X,s:Abeoformidae_Group_MAIP_1_X_sp.",not_provided
ASV_2108,Eukaryota,Opisthokonta,Mesomycetozoa,Ichthyosporea,Ichthyosphonida,Abeoformidae_Group_MAIP_2,Abeoformidae_Group_MAIP_2_X,AbeoformidaeGroupMAIP2,"Eukaryota,d:Opisthokonta,p:Mesomycetozoa,c:Ichthyosporea,o:Ichthyosphonida,f:Abeoformidae_Group_MAIP_2,g:Abeoformidae_Group_MAIP_2_X,s:Abeoformidae_Group_MAIP_2_X_sp.",not_provided
ASV_10876,Obazoa,Eukaryota,Ichthyosporea,Ichthyophonida,Abeoformidae,Abeoformidae_Group_MAIP_4,Abeoformidae_Group_MAIP_4_X,AbeoformidaeGroupMAIP4,not_provided,Opisthokonta
ASV_2860,Eukaryota,Rhizaria,Radiolaria,Acantharea,Acantharea_X,Acantharea_XX,Acantharea_XXX,Acantharea,"Eukaryota,d:Rhizaria,p:Radiolaria,c:Acantharea,o:Acantharea_X,f:Acantharea_XX,g:Acantharea_XXX,s:Acantharea_XXX_sp.",not_provided
ASV_10728,TSAR,Eukaryota,Radiolaria,Acantharea,Acantharea_1,Acantharea_1_X,Acantharea_1_XX,Acantharea1,not_provided,Rhizaria
ASV_12532,TSAR,Eukaryota,Radiolaria,Acantharea,Acantharea_2,Acantharea_2b,Acantharea_2b_X,Acantharea2b,not_provided,Rhizaria
ASV_10459,TSAR,Eukaryota,Radiolaria,Acantharea,Acantharea_3,Acantharea_3b,Acantharea_3b_X,Acantharea3b,not_provided,Rhizaria
ASV_4144,Eukaryota,TSAR,Rhizaria,Radiolaria,Acantharea,Acantharea_4,Acantharea_4d,Acantharea4d,Eukaryota;TSAR;Rhizaria;Radiolaria;Acantharea;Acantharea_4;Acantharea_4d;Acantharea_4d_X;Acantharea_4d_X_sp.;,not_provided
ASV_12765,TSAR,Eukaryota,Radiolaria,Acantharea,Acantharea_E,Acantharea_E_X,Acantharea_E_XX,AcanthareaE,not_provided,Rhizaria
ASV_12225,Obazoa,Eukaryota,Choanoflagellata,Choanoflagellatea,Acanthoecida,Acanthoecida_X,Acanthoecida_XX,Acanthoecida,not_provided,Opisthokonta
