"Samples"	"orderplot"	"sampleplot"	"nreads"	"nasvs"
"ROS-SOC05"	"Bacillariophyta_X"	"ROS-SOC05"	1299	61
"ROS-SOC18"	"Bacillariophyta_X"	"ROS-SOC18"	1140	58
"ROS-SOC28"	"Bacillariophyta_X"	"ROS-SOC28"	889	40
"ROS-ROS17"	"Others"	"ROS-ROS17"	1733	178
"ROS-SOC18"	"Others"	"ROS-SOC18"	1110	125
"ROS-SOC24"	"Others"	"ROS-SOC24"	911	113
"ROS-EMk03"	"Bacillariophyta_X"	"ROS-EMk03"	2919	198
"ROS-EMk17"	"Bacillariophyta_X"	"ROS-EMk17"	3130	146
"ROS-BMk13"	"Others"	"ROS-BMk13"	24	18
"ROS-BMk15"	"Others"	"ROS-BMk15"	18	13
"ROS-BMk17"	"Others"	"ROS-BMk17"	28	15
"ROS-EMk03"	"Others"	"ROS-EMk03"	40	19
"ROS-EMk08"	"Others"	"ROS-EMk08"	39	22
"ROS-EMk15"	"Others"	"ROS-EMk15"	11	7
"ROS-EMk17"	"Others"	"ROS-EMk17"	28	13
"ROS-BMk13"	"Bacillariophyta_X"	"ROS-BMk13"	1569	158
"ROS-BMk15"	"Bacillariophyta_X"	"ROS-BMk15"	1477	138
"ROS-BMk17"	"Bacillariophyta_X"	"ROS-BMk17"	1502	131
"ROS-BMk25"	"Bacillariophyta_X"	"ROS-BMk25"	1125	127
"ROS-EMk08"	"Bacillariophyta_X"	"ROS-EMk08"	2958	190
"ROS-EMk15"	"Bacillariophyta_X"	"ROS-EMk15"	3554	181
"ROS-NOAA07"	"Dino-Group-II"	"ROS-NOAA07"	613	45
"ROS-NOAA18"	"Dino-Group-II"	"ROS-NOAA18"	505	46
"ROS-NOAA24"	"Dino-Group-II"	"ROS-NOAA24"	402	37
"ROS-NOAA30"	"Dino-Group-II"	"ROS-NOAA30"	712	47
"ROS-ROS01"	"Dino-Group-II"	"ROS-ROS01"	2613	97
"ROS-ROS05"	"Dino-Group-II"	"ROS-ROS05"	2491	83
"ROS-ROS09"	"Dino-Group-II"	"ROS-ROS09"	1853	86
"ROS-ROS13"	"Dino-Group-II"	"ROS-ROS13"	1716	78
"ROS-ROS17"	"Dino-Group-II"	"ROS-ROS17"	1262	55
"ROS-BMk13"	"Gonyaulacales"	"ROS-BMk13"	122	14
"ROS-BMk15"	"Gonyaulacales"	"ROS-BMk15"	130	13
"ROS-BMk17"	"Gonyaulacales"	"ROS-BMk17"	154	12
"ROS-BMk21"	"Gonyaulacales"	"ROS-BMk21"	131	5
"ROS-BMk25"	"Gonyaulacales"	"ROS-BMk25"	97	11
"ROS-DAL03"	"Gonyaulacales"	"ROS-DAL03"	27	5
"ROS-DAL09"	"Gonyaulacales"	"ROS-DAL09"	93	10
