# Constructed from biom file
#OTU ID	G8r-AWI19	G19r-AWI7	G12r-NOC23	E-G2-NOAA29	G22r-DAL24	E-G16-NOC11	E-G27-eMock2-2	G4r-ROS16	G7r-NOC20	E-G14-ROS20	E-G13-NOAA23	G5r-NOC4	G10r-ROS4	G26r-NOAA5	G24r-AWI15	G18r-NOAA6	G21r-NOC33	E-G3-DAL6	G9r-NOAA17	E-G28-eMock2-7	G23r-NOAA12	G17r-DAL12	G25r-ROS8	E-G36-bMock27	E-G6-DAL18	E-G15-AWI3	E-G30-eMockB-18	E-G29-eMockA-11	E-G32-bMock2	G11r-DAL30	E-G35-bMock22	G20r-ROS12	E-G31-eMockB-20	E-G34-bMock20	E-G1-AWI11	E-G33-bMock9	taxonomy
af8a7e4f458291a2e963c7760681159c	2541.0	2061.0	283.0	0.0	0.0	213.0	0.0	32.0	359.0	34.0	0.0	422.0	306.0	0.0	2534.0	0.0	365.0	0.0	0.0	0.0	0.0	0.0	122.0	0.0	0.0	1997.0	0.0	0.0	0.0	0.0	0.0	120.0	0.0	0.0	2043.0	0.0	d__Eukaryota; p__Dinoflagellata; c__Dinophyceae; o__Gymnodiniphycidae; f__Gymnodiniphycidae; g__Gyrodinium
fd565042fd37e712e44895349b185c92	1555.0	2450.0	19.0	33.0	558.0	36.0	0.0	0.0	54.0	0.0	54.0	35.0	0.0	181.0	2408.0	114.0	128.0	163.0	28.0	0.0	262.0	522.0	0.0	0.0	425.0	1969.0	0.0	0.0	0.0	404.0	0.0	0.0	0.0	0.0	2309.0	0.0	d__Eukaryota; p__Dinoflagellata; c__Dinophyceae
79dbfca1b8f163c5b2322cafdb37d1fc	823.0	1107.0	31.0	0.0	0.0	12.0	0.0	0.0	12.0	0.0	0.0	26.0	0.0	0.0	1281.0	0.0	65.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	966.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	840.0	0.0	d__Eukaryota; p__Dinoflagellata; c__Dinophyceae; o__Gymnodiniphycidae; f__Gymnodinium_clade; g__Gymnodinium; s__uncultured_eukaryote
9d8e3a7923c6e0b43acafafa93c0d428	729.0	1494.0	0.0	0.0	0.0	0.0	408.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1180.0	0.0	0.0	0.0	0.0	545.0	0.0	0.0	0.0	1396.0	0.0	713.0	530.0	515.0	943.0	0.0	1416.0	0.0	478.0	2441.0	469.0	1438.0	d__Eukaryota; p__Chlorophyta; c__Mamiellophyceae; o__Mamiellales; f__Mamiellales; g__Micromonas; s__uncultured_eukaryote
1cbec73b3e49a62899bbd6aa28f9ced7	530.0	565.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	501.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	450.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	690.0	0.0	d__Eukaryota; p__Dinoflagellata; c__Dinophyceae; o__Gymnodiniphycidae
83af14dfa995959ecb169da0a077021c	452.0	835.0	0.0	15.0	0.0	7.0	0.0	0.0	4.0	0.0	13.0	0.0	0.0	16.0	701.0	18.0	15.0	0.0	5.0	0.0	85.0	0.0	0.0	0.0	5.0	588.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	560.0	0.0	d__Eukaryota; p__Dinoflagellata; c__Dinophyceae; o__Gymnodiniphycidae; f__Suessiaceae; g__Biecheleria; s__uncultured_alveolate
b2814100d9a8bdf38d80a3e0865e19f1	425.0	736.0	12.0	2.0	105.0	7.0	1209.0	2.0	3.0	0.0	0.0	24.0	0.0	0.0	801.0	0.0	30.0	33.0	0.0	1441.0	0.0	109.0	0.0	34300.0	88.0	487.0	1712.0	1266.0	33675.0	124.0	34286.0	4.0	1383.0	56835.0	360.0	34134.0	d__Eukaryota; p__Prymnesiophyceae; c__Prymnesiophyceae; o__Prymnesiophyceae; f__Prymnesiophyceae; g__Phaeocystis; s__Phaeocystis_pouchetii
e54f519ce59a626e15f6debfe4576464	418.0	991.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	873.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	443.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	487.0	0.0	d__Eukaryota; p__Chlorophyta; c__Prasinophytae; o__Prasinophytae; f__Prasinophytae; g__Prasinophytae
531eb019e517c11ac5a756f90af574b5	408.0	623.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	555.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	260.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	120.0	0.0	d__Eukaryota; p__Dinoflagellata; c__Dinophyceae; o__Gymnodiniphycidae; f__Incertae_Sedis; g__Cochlodinium; s__Margalefidinium_fulvescens
e9f66d3b3457631917437df5c3c3e598	360.0	771.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	615.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	387.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	401.0	0.0	d__Eukaryota; p__Chlorophyta; c__Prasinophytae; o__Prasinophytae; f__Prasinophytae; g__Prasinophytae; s__Pyramimonas_australis
